CLASS_TYPE;POS;PIC;NUMBER;VEHICLE;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH
Am;1;1;46;Toyota GR86;17;45:57.575;;;8;2:28.630;132.5
Am;2;2;7;Toyota GR86;17;45:58.259;+0.684;+0.684;7;2:28.678;132.5
Am;3;3;16;Toyota GR86;17;45:58.588;+1.013;+0.329;9;2:28.726;132.4
Am;4;4;55;Toyota GR86;17;45:58.880;+1.305;+0.292;10;2:28.679;132.5
Am;5;5;72;Toyota GR86;17;45:59.793;+2.218;+0.913;9;2:28.848;132.3
Am;6;6;13;Toyota GR86;17;46:00.172;+2.597;+0.379;9;2:28.745;132.4
Am;7;7;78;Toyota GR86;17;46:02.598;+5.023;+2.426;9;2:29.293;131.9
Am;8;8;41;Toyota GR86;17;46:03.531;+5.956;+0.933;7;2:29.262;132.0
Am;9;9;71;Toyota GR86;17;46:04.116;+6.541;+0.585;10;2:29.526;131.7
Am;10;10;21;Toyota GR86;17;46:04.348;+6.773;+0.232;7;2:28.989;132.2
Am;11;11;98;Toyota GR86;17;46:04.367;+6.792;+0.019;16;2:29.983;131.3
Am;12;12;88;Toyota GR86;17;46:06.979;+9.404;+2.612;16;2:29.418;131.8
Am;13;13;47;Toyota GR86;17;46:09.705;+12.130;+2.726;10;2:29.846;131.5
Am;14;14;14;Toyota GR86;17;46:10.379;+12.804;+0.674;16;2:30.363;131.0
Am;15;15;3;Toyota GR86;17;46:11.933;+14.358;+1.554;10;2:31.035;130.4
Am;16;16;93;Toyota GR86;17;46:12.357;+14.782;+0.424;9;2:31.169;130.3
Am;17;17;5;Toyota GR86;17;46:13.888;+16.313;+1.531;9;2:30.848;130.6
Am;18;18;89;Toyota GR86;17;46:14.429;+16.854;+0.541;6;2:29.744;131.5
Am;19;19;3;Toyota GR86;17;46:19.358;+21.783;+4.929;9;2:32.070;129.5
Am;20;20;86;Toyota GR86;17;46:22.746;+25.171;+3.388;6;2:33.294;128.5
Am;21;21;80;Toyota GR86;17;46:24.644;+27.069;+1.898;15;2:32.369;129.3
Am;22;22;57;Toyota GR86;17;46:28.369;+30.794;+3.725;8;2:33.619;128.2
Am;23;23;8;Toyota GR86;17;46:29.807;+32.232;+1.438;16;2:33.790;128.1
Am;24;24;18;Toyota GR86;17;46:39.967;+42.392;+10.160;16;2:33.543;128.3
Am;25;25;73;Toyota GR86;17;46:40.393;+42.818;+0.426;10;2:32.063;129.5
Am;26;26;113;Toyota GR86;17;46:53.651;+56.076;+13.258;10;2:29.926;131.4
Am;27;27;51;Toyota GR86;14;40:14.584;3 Laps;3 Laps;8;2:33.568;128.3
Am;28;28;31;Toyota GR86;13;46:14.818;4 Laps;1 Laps;13;2:30.244;131.1
Am;29;29;11;Toyota GR86;10;26:50.082;7 Laps;3 Laps;10;2:31.702;129.8
Am;30;30;15;Toyota GR86;6;20:28.905;11 Laps;4 Laps;3;2:31.899;129.7
Am;31;31;2;Toyota GR86;1;3:52.412;16 Laps;5 Laps;0;;
