NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;PIT_TIME;CLASS;GROUP;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed
3;1;1;3:46.084;0;;53.893;0;1:28.398;0;1:23.793;0;87.1;3:46.084;15:58:26.323;0:53.893;1:28.398;1:23.793;107.8;;Am;;Toyota Gazoo Racing;FCY;53.893;88.398;83.793;;;;53.893;32.095;1:25.988;56.303;2:22.291;36.726;2:59.017;47.067;3:46.084
3;1;2;2:48.736;0;;45.381;0;1:00.988;0;1:02.367;0;116.7;6:34.820;16:01:15.059;0:45.381;1:00.988;1:02.367;202.2;;Am;;Toyota Gazoo Racing;GF;45.381;60.988;62.367;30.942;30.942;14.439;45.381;24.32;1:09.701;36.668;1:46.369;30.435;2:16.804;31.932;2:48.736
3;1;3;2:36.896;0;;33.659;0;1:01.873;0;1:01.364;0;125.6;9:11.716;16:03:51.955;0:33.659;1:01.873;1:01.364;200.0;;Am;;Toyota Gazoo Racing;GF;33.659;61.873;61.364;20.811;20.811;12.848;33.659;25.793;59.452;36.080;1:35.532;28.996;2:04.528;32.368;2:36.896
3;1;4;2:33.653;0;;33.486;0;58.603;0;1:01.564;0;128.2;11:45.369;16:06:25.608;0:33.486;0:58.603;1:01.564;201.5;;Am;;Toyota Gazoo Racing;GF;33.486;58.603;61.564;20.898;20.898;12.588;33.486;22.818;56.304;35.785;1:32.089;29.336;2:01.425;32.228;2:33.653
3;1;5;2:33.941;0;;33.822;0;59.473;0;1:00.646;0;128.0;14:19.310;16:08:59.549;0:33.822;0:59.473;1:00.646;197.1;;Am;;Toyota Gazoo Racing;GF;33.822;59.473;60.646;20.686;20.686;13.136;33.822;23.179;57.001;36.294;1:33.295;29.126;2:02.421;31.52;2:33.941
3;1;6;2:32.592;0;;33.142;0;58.442;0;1:01.008;0;129.1;16:51.902;16:11:32.141;0:33.142;0:58.442;1:01.008;203.0;;Am;;Toyota Gazoo Racing;GF;33.142;58.442;61.008;20.644;20.644;12.498;33.142;22.772;55.914;35.670;1:31.584;29.488;2:01.072;31.52;2:32.592
3;1;7;2:32.568;0;;33.219;0;58.950;0;1:00.399;0;129.1;19:24.470;16:14:04.709;0:33.219;0:58.950;1:00.399;197.1;;Am;;Toyota Gazoo Racing;GF;33.219;58.95;60.399;20.740;20.740;12.479;33.219;23.132;56.351;35.818;1:32.169;29.153;2:01.322;31.246;2:32.568
3;1;8;2:32.909;0;;33.285;0;58.871;0;1:00.753;0;128.8;21:57.379;16:16:37.618;0:33.285;0:58.871;1:00.753;197.8;;Am;;Toyota Gazoo Racing;GF;33.285;58.871;60.753;20.748;20.748;12.537;33.285;22.85;56.135;36.021;1:32.156;29.352;2:01.508;31.401;2:32.909
3;1;9;2:32.070;2;;33.334;0;58.537;0;1:00.199;2;129.5;24:29.449;16:19:09.688;0:33.334;0:58.537;1:00.199;198.5;;Am;;Toyota Gazoo Racing;GF;33.334;58.537;60.199;20.772;20.772;12.562;33.334;22.749;56.083;35.788;1:31.871;29.104;2:00.975;31.095;2:32.070
3;1;10;2:32.311;0;;33.319;0;58.636;0;1:00.356;0;129.3;27:01.760;16:21:41.999;0:33.319;0:58.636;1:00.356;197.8;;Am;;Toyota Gazoo Racing;GF;33.319;58.636;60.356;20.688;20.688;12.631;33.319;22.724;56.043;35.912;1:31.955;28.942;2:00.897;31.414;2:32.311
3;1;11;2:32.852;0;;33.186;0;59.437;0;1:00.229;0;128.9;29:34.612;16:24:14.851;0:33.186;0:59.437;1:00.229;197.8;;Am;;Toyota Gazoo Racing;FCY;33.186;59.437;60.229;20.654;20.654;12.532;33.186;23.324;56.510;36.113;1:32.623;28.964;2:01.587;31.265;2:32.852
3;1;12;2:50.903;0;;33.542;0;1:01.745;0;1:15.616;0;115.3;32:25.515;16:27:05.754;0:33.542;1:01.745;1:15.616;132.4;;Am;;Toyota Gazoo Racing;FCY;33.542;61.745;75.616;20.894;20.894;12.648;33.542;23.061;56.603;38.684;1:35.287;32.411;2:07.698;43.205;2:50.903
3;1;13;3:40.099;0;;48.728;0;1:31.118;0;1:20.253;0;89.5;36:05.614;16:30:45.853;0:48.728;1:31.118;1:20.253;98.0;;Am;;Toyota Gazoo Racing;GF;48.728;91.118;80.253;32.771;32.771;15.957;48.728;31.181;1:19.909;59.937;2:19.846;35.519;2:55.365;44.734;3:40.099
3;1;14;2:33.121;0;;33.621;0;58.327;0;1:01.173;0;128.6;38:38.735;16:33:18.974;0:33.621;0:58.327;1:01.173;205.3;;Am;;Toyota Gazoo Racing;GF;33.621;58.327;61.173;20.735;20.735;12.886;33.621;22.824;56.445;35.503;1:31.948;29.314;2:01.262;31.859;2:33.121
3;1;15;2:33.850;0;;33.427;0;58.337;0;1:02.086;0;128.0;41:12.585;16:35:52.824;0:33.427;0:58.337;1:02.086;205.3;;Am;;Toyota Gazoo Racing;GF;33.427;58.337;62.086;20.850;20.850;12.577;33.427;22.487;55.914;35.850;1:31.764;29.052;2:00.816;33.034;2:33.850
3;1;16;2:32.325;0;;33.062;2;58.243;2;1:01.020;0;129.3;43:44.910;16:38:25.149;0:33.062;0:58.243;1:01.020;202.2;;Am;;Toyota Gazoo Racing;GF;33.062;58.243;61.02;20.618;20.618;12.444;33.062;22.603;55.665;35.640;1:31.305;29.01;2:00.315;32.01;2:32.325
3;1;17;2:34.448;0;;33.112;0;1:00.652;0;1:00.684;0;127.5;46:19.358;16:40:59.597;0:33.112;1:00.652;1:00.684;199.3;;Am;;Toyota Gazoo Racing;FF;33.112;60.652;60.684;20.560;20.560;12.552;33.112;22.975;56.087;37.677;1:33.764;28.933;2:02.697;31.751;2:34.448
11;1;1;3:45.563;0;;53.414;0;1:27.116;0;1:25.033;0;87.3;3:45.563;15:58:25.802;0:53.414;1:27.116;1:25.033;108.4;;Am;Legends;Toyota Gazoo Racing;FCY;53.414;87.116;85.033;;;;53.414;32.221;1:25.635;54.895;2:20.530;36.81;2:57.340;48.223;3:45.563
11;1;2;2:46.560;0;;44.518;0;1:00.144;0;1:01.898;0;118.3;6:32.123;16:01:12.362;0:44.518;1:00.144;1:01.898;206.9;;Am;Legends;Toyota Gazoo Racing;GF;44.518;60.144;61.898;30.711;30.711;13.807;44.518;24.18;1:08.698;35.964;1:44.662;30.065;2:14.727;31.833;2:46.560
