TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN
1745700936;4/26/2025 8:55:36 PM;28.69;43.2;61.65;993.1;23.76;141;0
1745700998;4/26/2025 8:56:38 PM;28.63;43.1;61.66;993.2;14.4;147;0
1745701061;4/26/2025 8:57:41 PM;28.59;42.9;62.1;993.2;13.32;151;0
1745701124;4/26/2025 8:58:44 PM;28.55;42.6;62.01;993.1;15.48;143;0
1745701186;4/26/2025 8:59:46 PM;28.6;42.6;62.71;993.1;9.36;135;0
1745701249;4/26/2025 9:00:49 PM;28.67;42.4;62.88;993.2;8.64;144;0
1745701312;4/26/2025 9:01:52 PM;28.64;42.2;62.2;993.2;18.0;174;0
1745701374;4/26/2025 9:02:54 PM;28.56;42.1;62.58;993.2;18.0;172;0
1745701437;4/26/2025 9:03:57 PM;28.5;41.9;63.53;993.1;5.04;175;0
1745701500;4/26/2025 9:05:00 PM;28.54;41.7;63.32;993.2;12.24;167;0
1745701562;4/26/2025 9:06:02 PM;28.59;41.6;63.24;993.2;10.44;163;0
1745701625;4/26/2025 9:07:05 PM;28.54;41.4;63.38;993.2;9.0;152;0
1745701688;4/26/2025 9:08:08 PM;28.52;41.3;63.46;993.1;8.64;151;0
1745701750;4/26/2025 9:09:10 PM;28.51;41.2;63.96;993.1;9.72;168;0
1745701813;4/26/2025 9:10:13 PM;28.57;41.2;62.84;993.0;15.12;151;0
1745701876;4/26/2025 9:11:16 PM;28.55;41.2;62.88;993.1;11.88;151;0
1745701939;4/26/2025 9:12:19 PM;28.52;41.1;62.29;993.0;13.68;158;0
1745702001;4/26/2025 9:13:21 PM;28.53;40.8;62.17;993.1;15.48;154;0
1745702064;4/26/2025 9:14:24 PM;28.52;40.7;62.3;993.1;9.0;156;0
1745702127;4/26/2025 9:15:27 PM;28.56;40.6;62.61;993.1;9.72;171;0
1745702189;4/26/2025 9:16:29 PM;28.56;40.4;62.26;993.2;10.44;189;0
1745702252;4/26/2025 9:17:32 PM;28.56;40.4;62.43;993.2;10.8;189;0
1745702315;4/26/2025 9:18:35 PM;28.54;40.3;62.19;993.2;12.24;172;0
1745702377;4/26/2025 9:19:37 PM;28.53;40.2;63.07;993.2;8.64;177;0
1745702440;4/26/2025 9:20:40 PM;28.56;40.2;62.94;993.1;8.28;143;0
1745702503;4/26/2025 9:21:43 PM;28.63;40.2;62.71;993.1;11.16;153;0
1745702565;4/26/2025 9:22:45 PM;28.71;40.2;62.64;993.0;13.68;158;0
1745702628;4/26/2025 9:23:48 PM;28.75;40.2;61.65;993.1;18.0;161;0
1745702691;4/26/2025 9:24:51 PM;28.75;40.3;61.28;993.0;10.8;170;0
1745702753;4/26/2025 9:25:53 PM;28.73;40.3;61.64;993.1;14.04;173;0
1745702816;4/26/2025 9:26:56 PM;28.73;40.3;61.09;993.1;19.08;175;0
1745702879;4/26/2025 9:27:59 PM;28.75;40.2;61.11;993.1;16.92;178;0
1745702942;4/26/2025 9:29:02 PM;28.81;40.3;61.01;993.1;13.32;177;0
1745703004;4/26/2025 9:30:04 PM;28.86;40.5;61.17;993.2;11.16;174;0
1745703067;4/26/2025 9:31:07 PM;28.94;40.7;61.7;993.0;12.6;153;0
1745703130;4/26/2025 9:32:10 PM;29.01;40.8;62.17;993.1;11.16;184;0
1745703192;4/26/2025 9:33:12 PM;29.03;40.9;62.55;993.1;17.64;159;0
1745703255;4/26/2025 9:34:15 PM;28.97;40.9;63.2;993.1;14.76;143;0
1745703318;4/26/2025 9:35:18 PM;28.96;40.9;63.31;993.0;10.8;150;0
1745703380;4/26/2025 9:36:20 PM;28.94;41.6;63.62;993.1;13.68;154;0
1745703443;4/26/2025 9:37:23 PM;28.95;41.6;63.42;993.0;14.4;162;0
1745703506;4/26/2025 9:38:26 PM;28.89;42.1;63.87;993.0;10.08;138;0
1745703568;4/26/2025 9:39:28 PM;28.96;42.2;64.36;993.0;9.36;140;0
1745703631;4/26/2025 9:40:31 PM;29.12;42.4;62.9;993.0;16.92;147;0
