POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5
1;46;Classified;23;46:44.198;-;-;19;1:52.073;123.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
2;13;Classified;23;46:44.350;+0.152;+0.152;17;1:51.724;123.7;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
3;55;Classified;23;46:45.925;+1.727;+1.575;17;1:51.985;123.4;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
4;2;Classified;23;46:46.329;+2.131;+0.404;18;1:52.039;123.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
5;16;Classified;23;46:47.930;+3.732;+1.601;12;1:52.119;123.2;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
6;78;Classified;23;46:49.079;+4.881;+1.149;17;1:52.020;123.4;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
7;98;Classified;23;46:52.482;+8.284;+3.403;16;1:52.300;123.0;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
8;88;Classified;23;47:02.172;+17.974;+9.690;20;1:52.465;122.9;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
9;71;Classified;23;47:04.132;+19.934;+1.960;13;1:52.760;122.5;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
10;31;Classified;23;47:07.115;+22.917;+2.983;14;1:52.459;122.9;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
11;89;Classified;23;47:09.200;+25.002;+2.085;22;1:52.502;122.8;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
12;50;Classified;23;47:13.536;+29.338;+4.336;22;1:52.948;122.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
13;113;Classified;23;47:16.698;+32.500;+3.162;13;1:53.303;122.0;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
14;7;Classified;23;47:18.707;+34.509;+2.009;20;1:52.156;123.2;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
15;15;Classified;23;47:26.567;+42.369;+7.860;23;1:53.855;121.4;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
16;93;Classified;23;47:28.070;+43.872;+1.503;20;1:53.915;121.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
17;17;Classified;23;47:31.729;+47.531;+3.659;4;1:53.277;122.0;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
18;3;Classified;23;47:32.544;+48.346;+0.815;22;1:54.171;121.0;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
19;72;Classified;23;47:33.158;+48.960;+0.614;12;1:51.668;123.7;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
20;73;Classified;23;47:33.691;+49.493;+0.533;10;1:54.289;120.9;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
21;51;Classified;23;47:34.327;+50.129;+0.636;23;1:53.955;121.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
22;14;Classified;23;47:36.995;+52.797;+2.668;10;1:53.568;121.7;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
23;3;Classified;23;47:37.824;+53.626;+0.829;10;1:54.350;120.8;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
24;11;Classified;23;47:45.189;+1:00.991;+7.365;22;1:54.517;120.7;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
25;47;Classified;23;47:52.457;+1:08.259;+7.268;15;1:52.612;122.7;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
26;80;Classified;23;48:07.397;+1:23.199;+14.940;13;1:55.840;119.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
27;12;Classified;23;48:26.440;+1:42.242;+19.043;22;1:56.145;119.0;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
28;21;Classified;22;48:15.818;1 Lap;1 Lap;15;1:52.632;122.7;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
29;5;Classified;14;47:29.030;9 Laps;8 Laps;9;1:54.300;120.9;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
30;67;Classified;8;18:47.476;15 Laps;6 Laps;4;1:54.607;120.6;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
31;41;Classified;4;8:26.429;19 Laps;4 Laps;4;1:53.484;121.8;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
