CLASS_TYPE;POS;PIC;NUMBER;VEHICLE;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH
Am;1;1;46;Toyota GR86;23;46:44.198;;;19;1:52.073;123.3
Am;2;2;13;Toyota GR86;23;46:44.350;+0.152;+0.152;17;1:51.724;123.7
Am;3;3;55;Toyota GR86;23;46:45.925;+1.727;+1.575;17;1:51.985;123.4
Am;4;4;2;Toyota GR86;23;46:46.329;+2.131;+0.404;18;1:52.039;123.3
Am;5;5;16;Toyota GR86;23;46:47.930;+3.732;+1.601;12;1:52.119;123.2
Am;6;6;78;Toyota GR86;23;46:49.079;+4.881;+1.149;17;1:52.020;123.4
Am;7;7;98;Toyota GR86;23;46:52.482;+8.284;+3.403;16;1:52.300;123.0
Am;8;8;88;Toyota GR86;23;47:02.172;+17.974;+9.690;20;1:52.465;122.9
Am;9;9;71;Toyota GR86;23;47:04.132;+19.934;+1.960;13;1:52.760;122.5
Am;10;10;31;Toyota GR86;23;47:07.115;+22.917;+2.983;14;1:52.459;122.9
Am;11;11;89;Toyota GR86;23;47:09.200;+25.002;+2.085;22;1:52.502;122.8
Am;12;12;50;Toyota GR86;23;47:13.536;+29.338;+4.336;22;1:52.948;122.3
Am;13;13;113;Toyota GR86;23;47:16.698;+32.500;+3.162;13;1:53.303;122.0
Am;14;14;7;Toyota GR86;23;47:18.707;+34.509;+2.009;20;1:52.156;123.2
Am;15;15;15;Toyota GR86;23;47:26.567;+42.369;+7.860;23;1:53.855;121.4
Am;16;16;93;Toyota GR86;23;47:28.070;+43.872;+1.503;20;1:53.915;121.3
Am;17;17;17;Toyota GR86;23;47:31.729;+47.531;+3.659;4;1:53.277;122.0
Am;18;18;3;Toyota GR86;23;47:32.544;+48.346;+0.815;22;1:54.171;121.0
Am;19;19;72;Toyota GR86;23;47:33.158;+48.960;+0.614;12;1:51.668;123.7
Am;20;20;73;Toyota GR86;23;47:33.691;+49.493;+0.533;10;1:54.289;120.9
Am;21;21;51;Toyota GR86;23;47:34.327;+50.129;+0.636;23;1:53.955;121.3
Am;22;22;14;Toyota GR86;23;47:36.995;+52.797;+2.668;10;1:53.568;121.7
Am;23;23;3;Toyota GR86;23;47:37.824;+53.626;+0.829;10;1:54.350;120.8
Am;24;24;11;Toyota GR86;23;47:45.189;+1'00.991;+7.365;22;1:54.517;120.7
Am;25;25;47;Toyota GR86;23;47:52.457;+1'08.259;+7.268;15;1:52.612;122.7
Am;26;26;80;Toyota GR86;23;48:07.397;+1'23.199;+14.940;13;1:55.840;119.3
Am;27;27;12;Toyota GR86;23;48:26.440;+1'42.242;+19.043;22;1:56.145;119.0
Am;28;28;21;Toyota GR86;22;48:15.818;1 Laps;1 Laps;15;1:52.632;122.7
Am;29;29;5;Toyota GR86;14;47:29.030;9 Laps;8 Laps;9;1:54.300;120.9
Am;30;30;67;Toyota GR86;8;18:47.476;15 Laps;6 Laps;4;1:54.607;120.6
Am;31;31;41;Toyota GR86;4;8:26.429;19 Laps;4 Laps;4;1:53.484;121.8
