NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;PIT_TIME;CLASS;GROUP;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;INT-1_time;INT-1_elapsed;IM2a_time;IM2a_elapsed;INT-2_time;INT-2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed
3;1;1;2:44.364;0;;1:02.814;0;50.444;0;51.106;0;84.1;2:44.364;14:08:33.187;1:02.814;0:50.444;0:51.106;150.0;;Am;;Toyota Gazoo Racing;GF;62.814;50.444;51.106;;;;1:02.814;23.431;1:26.245;27.013;1:53.258;21.138;2:14.396;29.968;2:44.364
3;1;2;2:01.931;0;;42.808;0;39.608;0;39.515;0;113.3;4:46.295;14:10:35.118;0:42.808;0:39.608;0:39.515;177.0;;Am;;Toyota Gazoo Racing;GF;42.808;39.608;39.515;18.071;18.071;24.737;42.808;16.088;58.896;23.52;1:22.416;15.312;1:37.728;24.203;2:01.931
3;1;3;1:56.717;0;;39.854;0;38.183;0;38.680;0;118.4;6:43.012;14:12:31.835;0:39.854;0:38.183;0:38.680;184.3;;Am;;Toyota Gazoo Racing;GF;39.854;38.183;38.68;16.326;16.326;23.528;39.854;16.03;55.884;22.153;1:18.037;14.867;1:32.904;23.813;1:56.717
3;1;4;1:56.554;0;;39.428;0;37.968;0;39.158;0;118.6;8:39.566;14:14:28.389;0:39.428;0:37.968;0:39.158;184.3;;Am;;Toyota Gazoo Racing;GF;39.428;37.968;39.158;16.581;16.581;22.847;39.428;15.866;55.294;22.102;1:17.396;14.936;1:32.332;24.222;1:56.554
3;1;5;2:03.062;0;;39.748;0;41.984;0;41.330;0;112.3;10:42.628;14:16:31.451;0:39.748;0:41.984;0:41.330;177.0;;Am;;Toyota Gazoo Racing;FCY;39.748;41.984;41.33;16.868;16.868;22.88;39.748;17.5;57.248;24.484;1:21.732;15.383;1:37.115;25.947;2:03.062
3;1;6;2:55.922;0;;1:04.976;0;1:00.032;0;50.914;0;78.5;13:38.550;14:19:27.373;1:04.976;1:00.032;0:50.914;159.1;;Am;;Toyota Gazoo Racing;FCY;64.976;60.032;50.914;24.653;24.653;40.323;1:04.976;30.701;1:35.677;29.331;2:05.008;17.295;2:22.303;33.619;2:55.922
3;1;7;2:46.238;0;;55.835;0;58.910;0;51.493;0;83.1;16:24.788;14:22:13.611;0:55.835;0:58.910;0:51.493;135.0;;Am;;Toyota Gazoo Racing;FCY;55.835;58.91;51.493;23.075;23.075;32.76;55.835;27.634;1:23.469;31.276;1:54.745;21.18;2:15.925;30.313;2:46.238
3;1;8;2:26.262;0;;47.257;0;49.794;0;49.211;0;94.5;18:51.050;14:24:39.873;0:47.257;0:49.794;0:49.211;156.1;;Am;;Toyota Gazoo Racing;GF;47.257;49.794;49.211;22.917;22.917;24.34;47.257;24.731;1:11.988;25.063;1:37.051;17.056;1:54.107;32.155;2:26.262
3;1;9;1:55.367;0;;38.930;0;37.714;0;38.723;0;119.8;20:46.417;14:26:35.240;0:38.930;0:37.714;0:38.723;184.3;;Am;;Toyota Gazoo Racing;GF;38.93;37.714;38.723;16.195;16.195;22.735;38.930;15.825;54.755;21.889;1:16.644;14.951;1:31.595;23.772;1:55.367
3;1;10;1:54.350;2;;38.441;0;37.532;0;38.377;0;120.8;22:40.767;14:28:29.590;0:38.441;0:37.532;0:38.377;184.3;;Am;;Toyota Gazoo Racing;GF;38.441;37.532;38.377;16.032;16.032;22.409;38.441;15.708;54.149;21.824;1:15.973;14.779;1:30.752;23.598;1:54.350
3;1;11;1:54.885;0;;38.555;0;37.850;0;38.480;0;120.3;24:35.652;14:30:24.475;0:38.555;0:37.850;0:38.480;186.2;;Am;;Toyota Gazoo Racing;GF;38.555;37.85;38.48;16.066;16.066;22.489;38.555;15.766;54.321;22.084;1:16.405;14.545;1:30.950;23.935;1:54.885
3;1;12;1:55.203;0;;38.935;0;37.657;0;38.611;0;119.9;26:30.855;14:32:19.678;0:38.935;0:37.657;0:38.611;183.1;;Am;;Toyota Gazoo Racing;GF;38.935;37.657;38.611;16.068;16.068;22.867;38.935;15.766;54.701;21.891;1:16.592;14.774;1:31.366;23.837;1:55.203
3;1;13;1:54.995;0;;38.709;0;37.580;0;38.706;0;120.2;28:25.850;14:34:14.673;0:38.709;0:37.580;0:38.706;186.2;;Am;;Toyota Gazoo Racing;GF;38.709;37.58;38.706;16.021;16.021;22.688;38.709;15.729;54.438;21.851;1:16.289;14.567;1:30.856;24.139;1:54.995
3;1;14;1:55.334;0;;39.358;0;37.858;0;38.118;0;119.8;30:21.184;14:36:10.007;0:39.358;0:37.858;0:38.118;186.2;;Am;;Toyota Gazoo Racing;GF;39.358;37.858;38.118;16.655;16.655;22.703;39.358;15.692;55.050;22.166;1:17.216;14.585;1:31.801;23.533;1:55.334
3;1;15;1:55.750;0;;38.475;0;38.961;0;38.314;0;119.4;32:16.934;14:38:05.757;0:38.475;0:38.961;0:38.314;181.2;;Am;;Toyota Gazoo Racing;GF;38.475;38.961;38.314;15.893;15.893;22.582;38.475;15.788;54.263;23.173;1:17.436;14.802;1:32.238;23.512;1:55.750
3;1;16;1:54.476;0;;38.520;0;37.959;0;37.997;2;120.7;34:11.410;14:40:00.233;0:38.520;0:37.959;0:37.997;186.2;;Am;;Toyota Gazoo Racing;GF;38.52;37.959;37.997;15.913;15.913;22.607;38.520;16.031;54.551;21.928;1:16.479;14.434;1:30.913;23.563;1:54.476
3;1;17;1:54.502;0;;38.585;0;37.792;0;38.125;0;120.7;36:05.912;14:41:54.735;0:38.585;0:37.792;0:38.125;185.2;;Am;;Toyota Gazoo Racing;GF;38.585;37.792;38.125;16.059;16.059;22.526;38.585;15.973;54.558;21.819;1:16.377;14.632;1:31.009;23.493;1:54.502
3;1;18;1:55.483;0;;38.457;0;37.584;0;39.442;0;119.7;38:01.395;14:43:50.218;0:38.457;0:37.584;0:39.442;187.2;;Am;;Toyota Gazoo Racing;GF;38.457;37.584;39.442;15.895;15.895;22.562;38.457;15.705;54.162;21.879;1:16.041;15.712;1:31.753;23.73;1:55.483
3;1;19;1:55.766;0;;38.430;2;39.095;0;38.241;0;119.4;39:57.161;14:45:45.984;0:38.430;0:39.095;0:38.241;183.1;;Am;;Toyota Gazoo Racing;GF;38.43;39.095;38.241;15.824;15.824;22.606;38.430;15.724;54.154;23.371;1:17.525;14.601;1:32.126;23.64;1:55.766
