NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
80;Toyota GR86;Am;22;1:57.675;5;1:58.055;4;1:58.058;20;1:58.071;21;1:58.418;18;1:58.520;15;1:58.541;3;1:58.623;17;1:58.741;6;1:58.991;16;1:58.369
113;Toyota GR86;Am;22;1:53.218;20;1:53.590;18;1:54.646;19;1:55.696;22;1:55.971;5;1:56.083;7;1:56.181;15;1:56.339;6;1:56.528;21;1:56.552;17;1:55.480
17;Toyota GR86;Am;22;1:54.814;18;1:55.008;11;1:55.512;17;1:55.940;10;1:56.326;19;1:56.371;6;1:56.576;21;1:56.627;5;1:56.903;20;1:57.008;22;1:56.108
93;Toyota GR86;Am;22;1:54.585;20;1:54.663;18;1:54.796;19;1:55.290;11;1:55.361;17;1:56.177;6;1:56.324;22;1:56.460;15;1:56.553;10;1:57.061;16;1:55.727
50;Toyota GR86;Am;22;1:53.456;17;1:53.728;21;1:53.876;19;1:53.937;20;1:54.089;18;1:54.104;11;1:54.153;9;1:54.372;10;1:54.991;5;1:55.172;6;1:54.187
89;Toyota GR86;Am;22;1:53.363;20;1:53.841;3;1:53.957;5;1:54.059;9;1:54.060;21;1:54.666;18;1:55.171;17;1:55.288;11;1:55.449;4;1:55.461;16;1:54.531
16;Toyota GR86;Am;21;1:52.794;21;1:52.970;19;1:53.210;20;1:53.212;17;1:53.403;18;1:53.452;16;1:54.308;9;1:54.448;5;1:54.944;6;1:54.979;11;1:53.772
3;Toyota GR86;Am;22;1:55.138;18;1:55.244;20;1:55.725;19;1:55.766;6;1:55.813;15;1:56.052;11;1:56.788;22;1:57.055;10;1:57.175;3;1:57.410;21;1:56.216
15;Toyota GR86;Am;22;1:53.858;20;1:54.556;21;1:54.603;18;1:54.918;17;1:55.013;6;1:55.150;11;1:55.597;10;1:56.060;4;1:56.205;16;1:56.230;19;1:55.219
11;Toyota GR86;Am;22;1:54.919;20;1:55.252;19;1:55.422;18;1:56.454;15;1:56.616;6;1:56.751;11;1:56.997;22;1:57.094;21;1:57.103;3;1:57.237;4;1:56.384
3;Toyota GR86;Am;22;1:55.321;20;1:55.550;18;1:55.676;11;1:55.854;19;1:56.445;6;1:56.529;4;1:56.572;10;1:56.701;15;1:56.750;3;1:56.751;21;1:56.214
72;Toyota GR86;Am;22;1:53.094;20;1:53.149;19;1:53.155;18;1:53.165;17;1:53.337;9;1:53.633;5;1:53.884;21;1:53.890;11;1:53.988;16;1:54.161;4;1:53.545
55;Toyota GR86;Am;22;1:52.833;20;1:53.195;17;1:53.195;21;1:53.244;18;1:53.306;19;1:53.554;9;1:53.798;16;1:53.964;11;1:54.028;4;1:54.659;5;1:53.577
88;Toyota GR86;Am;22;1:53.541;20;1:53.800;11;1:54.010;19;1:54.515;6;1:54.683;18;1:54.737;16;1:54.994;5;1:55.431;21;1:55.762;10;1:56.066;15;1:54.753
98;Toyota GR86;Am;22;1:53.562;20;1:53.927;21;1:54.141;5;1:54.142;9;1:54.474;4;1:54.562;16;1:54.603;18;1:55.259;17;1:55.404;10;1:55.648;11;1:54.572
51;Toyota GR86;Am;22;1:54.314;20;1:54.567;18;1:54.832;19;1:55.479;16;1:55.633;11;1:55.955;5;1:56.008;6;1:56.344;15;1:56.720;10;1:56.731;3;1:55.658
