NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;PIT_TIME;CLASS;GROUP;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed
3;1;1;1:45.342;0;;31.243;0;44.136;0;29.963;0;126.5;1:45.342;10:07:32.378;0:31.243;0:44.136;0:29.963;180.0;;Am;;Toyota Gazoo Racing;GF;31.243;44.136;29.963;21.125;21.125;10.118;31.243;31.093;1:02.336;13.043;1:15.379;11.634;1:27.013;18.329;1:45.342
3;1;2;1:39.505;0;;27.26;0;43.038;0;29.207;0;133.9;3:24.847;10:09:11.883;0:27.260;0:43.038;0:29.207;185.2;;Am;;Toyota Gazoo Racing;GF;27.26;43.038;29.207;17.339;17.339;9.921;27.26;30.252;57.512;12.786;1:10.298;11.17;1:21.468;18.037;1:39.505
3;1;3;1:39.249;0;;27.164;0;42.982;0;29.103;0;134.3;5:04.096;10:10:51.132;0:27.164;0:42.982;0:29.103;184.3;;Am;;Toyota Gazoo Racing;GF;27.164;42.982;29.103;17.284;17.284;9.88;27.164;30.177;57.341;12.805;1:10.146;11.124;1:21.270;17.979;1:39.249
3;1;4;1:39.640;0;;26.972;0;43.276;0;29.392;0;133.7;6:43.736;10:12:30.772;0:26.972;0:43.276;0:29.392;184.3;;Am;;Toyota Gazoo Racing;GF;26.972;43.276;29.392;17.133;17.133;9.839;26.972;30.438;57.410;12.838;1:10.248;11.22;1:21.468;18.172;1:39.640
3;1;5;1:39.275;0;;26.999;0;43.309;0;28.967;2;134.2;8:23.011;10:14:10.047;0:26.999;0:43.309;0:28.967;184.3;;Am;;Toyota Gazoo Racing;GF;26.999;43.309;28.967;17.086;17.086;9.913;26.999;30.547;57.546;12.762;1:10.308;11.049;1:21.357;17.918;1:39.275
3;1;6;1:38.920;2;;26.886;2;42.832;0;29.202;0;134.7;10:01.931;10:15:48.967;0:26.886;0:42.832;0:29.202;185.2;;Am;;Toyota Gazoo Racing;GF;26.886;42.832;29.202;17.051;17.051;9.835;26.886;30.062;56.948;12.77;1:09.718;11.132;1:20.850;18.070;1:38.920
3;1;7;1:39.472;0;;27.202;0;43.024;0;29.246;0;134.0;11:41.403;10:17:28.439;0:27.202;0:43.024;0:29.246;184.3;;Am;;Toyota Gazoo Racing;GF;27.202;43.024;29.246;17.39;17.39;9.812;27.202;30.258;57.460;12.766;1:10.226;11.272;1:21.498;17.974;1:39.472
3;1;8;1:39.156;0;;27.109;0;42.811;2;29.236;0;134.4;13:20.559;10:19:07.595;0:27.109;0:42.811;0:29.236;184.3;;Am;;Toyota Gazoo Racing;GF;27.109;42.811;29.236;17.322;17.322;9.787;27.109;30.071;57.180;12.74;1:09.920;11.297;1:21.217;17.939;1:39.156
3;1;9;1:39.609;0;;27.171;0;43.191;0;29.247;0;133.8;15:00.168;10:20:47.204;0:27.171;0:43.191;0:29.247;183.1;;Am;;Toyota Gazoo Racing;GF;27.171;43.191;29.247;17.276;17.276;9.895;27.171;30.369;57.540;12.822;1:10.362;11.231;1:21.593;18.016;1:39.609
3;1;10;1:39.345;0;;27.055;0;43.309;0;28.981;0;134.1;16:39.513;10:22:26.549;0:27.055;0:43.309;0:28.981;184.3;;Am;;Toyota Gazoo Racing;GF;27.055;43.309;28.981;17.192;17.192;9.863;27.055;30.521;57.576;12.788;1:10.364;11.126;1:21.490;17.855;1:39.345
3;1;11;1:39.114;0;;27.015;0;43.062;0;29.037;0;134.4;18:18.627;10:24:05.663;0:27.015;0:43.062;0:29.037;184.3;;Am;;Toyota Gazoo Racing;GF;27.015;43.062;29.037;17.182;17.182;9.833;27.015;30.282;57.297;12.78;1:10.077;11.144;1:21.221;17.893;1:39.114
3;1;12;1:39.631;0;;27.309;0;43.311;0;29.011;0;133.7;19:58.258;10:25:45.294;0:27.309;0:43.311;0:29.011;183.1;;Am;;Toyota Gazoo Racing;GF;27.309;43.311;29.011;17.481;17.481;9.828;27.309;30.446;57.755;12.865;1:10.620;11.029;1:21.649;17.982;1:39.631
3;1;13;1:39.328;0;;27.126;0;43.066;0;29.136;0;134.2;21:37.586;10:27:24.622;0:27.126;0:43.066;0:29.136;184.3;;Am;;Toyota Gazoo Racing;GF;27.126;43.066;29.136;17.317;17.317;9.809;27.126;30.302;57.428;12.764;1:10.192;11.19;1:21.382;17.946;1:39.328
3;1;14;1:39.311;0;;27.13;0;42.874;0;29.307;0;134.2;23:16.897;10:29:03.933;0:27.130;0:42.874;0:29.307;185.2;;Am;;Toyota Gazoo Racing;GF;27.13;42.874;29.307;17.291;17.291;9.839;27.13;30.14;57.270;12.734;1:10.004;11.215;1:21.219;18.092;1:39.311
3;1;15;1:39.213;0;;26.959;0;43.084;0;29.170;0;134.3;24:56.110;10:30:43.146;0:26.959;0:43.084;0:29.170;184.3;;Am;;Toyota Gazoo Racing;GF;26.959;43.084;29.17;17.149;17.149;9.81;26.959;30.284;57.243;12.8;1:10.043;11.138;1:21.181;18.032;1:39.213
3;1;16;1:39.371;0;;27.123;0;43.116;0;29.132;0;134.1;26:35.481;10:32:22.517;0:27.123;0:43.116;0:29.132;184.3;;Am;;Toyota Gazoo Racing;GF;27.123;43.116;29.132;17.309;17.309;9.814;27.123;30.377;57.500;12.739;1:10.239;11.19;1:21.429;17.942;1:39.371
3;1;17;1:39.477;0;;27.113;0;42.838;0;29.526;0;134.0;28:14.958;10:34:01.994;0:27.113;0:42.838;0:29.526;185.2;;Am;;Toyota Gazoo Racing;GF;27.113;42.838;29.526;17.283;17.283;9.83;27.113;30.14;57.253;12.698;1:09.951;11.46;1:21.411;18.066;1:39.477
3;1;18;1:39.583;0;;27.092;0;43.073;0;29.418;0;133.8;29:54.541;10:35:41.577;0:27.092;0:43.073;0:29.418;184.3;;Am;;Toyota Gazoo Racing;GF;27.092;43.073;29.418;17.282;17.282;9.81;27.092;30.368;57.460;12.705;1:10.165;11.329;1:21.494;18.089;1:39.583
3;1;19;1:39.442;0;;27.168;0;43.038;0;29.236;0;134.0;31:33.983;10:37:21.019;0:27.168;0:43.038;0:29.236;184.3;;Am;;Toyota Gazoo Racing;GF;27.168;43.038;29.236;17.339;17.339;9.829;27.168;30.304;57.472;12.734;1:10.206;11.189;1:21.395;18.047;1:39.442
3;1;20;1:39.073;0;;27.103;0;42.869;0;29.101;0;134.5;33:13.056;10:39:00.092;0:27.103;0:42.869;0:29.101;185.2;;Am;;Toyota Gazoo Racing;GF;27.103;42.869;29.101;17.272;17.272;9.831;27.103;30.185;57.288;12.684;1:09.972;11.159;1:21.131;17.942;1:39.073
3;1;21;1:39.484;0;;27.155;0;43.036;0;29.293;0;133.9;34:52.540;10:40:39.576;0:27.155;0:43.036;0:29.293;185.2;;Am;;Toyota Gazoo Racing;GF;27.155;43.036;29.293;17.35;17.35;9.805;27.155;30.332;57.487;12.704;1:10.191;11.349;1:21.540;17.944;1:39.484
3;1;22;1:39.545;0;;27.086;0;43.275;0;29.184;0;133.9;36:32.085;10:42:19.121;0:27.086;0:43.275;0:29.184;185.2;;Am;;Toyota Gazoo Racing;GF;27.086;43.275;29.184;17.354;17.354;9.732;27.086;30.507;57.593;12.768;1:10.361;11.169;1:21.530;18.015;1:39.545
