TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN
1757257552;9/7/2025 3:05:52 PM;23.54;0;49.28;995.1;5.04;348;0
1757257614;9/7/2025 3:06:54 PM;23.67;0;49.5;995.1;7.92;350;0
1757257677;9/7/2025 3:07:57 PM;23.72;0;49.27;995.1;5.76;331;0
1757257740;9/7/2025 3:09:00 PM;23.71;0;49.56;995.2;1.44;24;0
1757257802;9/7/2025 3:10:02 PM;23.72;0;49.23;995.2;6.48;335;0
1757257865;9/7/2025 3:11:05 PM;23.73;0;49.45;995.1;3.96;303;0
1757257928;9/7/2025 3:12:08 PM;23.79;0;49.19;995.2;9.0;340;0
1757257990;9/7/2025 3:13:10 PM;23.86;0;48.62;995.2;5.4;339;0
1757258053;9/7/2025 3:14:13 PM;23.96;0;48.34;995.2;6.48;337;0
1757258116;9/7/2025 3:15:16 PM;24.03;0;48.34;995.1;5.4;325;0
1757258179;9/7/2025 3:16:19 PM;24.03;0;48.59;995.1;5.04;346;0
1757258241;9/7/2025 3:17:21 PM;24.09;0;48.71;995.1;2.16;312;0
1757258304;9/7/2025 3:18:24 PM;24.15;0;48.53;995.1;3.6;325;0
1757258367;9/7/2025 3:19:27 PM;24.25;0;47.93;995.1;6.48;346;0
1757258429;9/7/2025 3:20:29 PM;24.28;0;48.43;995.2;7.92;338;0
1757258492;9/7/2025 3:21:32 PM;24.24;0;47.97;995.1;9.0;324;0
1757258555;9/7/2025 3:22:35 PM;24.16;0;48.22;995.0;7.56;341;0
1757258617;9/7/2025 3:23:37 PM;24.13;0;48.18;995.0;7.2;51;0
1757258680;9/7/2025 3:24:40 PM;24.13;0;48.1;995.0;3.96;14;0
1757258743;9/7/2025 3:25:43 PM;24.24;0;48.25;995.1;5.4;333;0
1757258805;9/7/2025 3:26:45 PM;24.34;0;47.43;995.0;5.4;344;0
1757258868;9/7/2025 3:27:48 PM;24.49;0;47.09;995.1;2.88;356;0
1757258931;9/7/2025 3:28:51 PM;24.63;0;47.04;995.1;3.96;5;0
1757258993;9/7/2025 3:29:53 PM;24.76;0;46.2;995.0;6.48;342;0
1757259056;9/7/2025 3:30:56 PM;24.73;0;46.37;995.0;4.32;38;0
1757259119;9/7/2025 3:31:59 PM;24.66;0;46.44;995.1;7.56;44;0
1757259182;9/7/2025 3:33:02 PM;24.61;0;46.33;995.0;6.12;46;0
1757259244;9/7/2025 3:34:04 PM;24.68;0;46.71;995.1;6.84;344;0
1757259307;9/7/2025 3:35:07 PM;24.83;0;46.71;995.0;6.84;21;0
1757259370;9/7/2025 3:36:10 PM;24.94;0;46.41;995.1;5.76;41;0
1757259432;9/7/2025 3:37:12 PM;25.04;0;46.81;995.1;3.6;350;0
1757259495;9/7/2025 3:38:15 PM;25.1;0;46.99;995.0;4.32;324;0
1757259558;9/7/2025 3:39:18 PM;25.15;0;46.94;995.0;4.32;38;0
1757259620;9/7/2025 3:40:20 PM;25.18;0;46.27;995.1;5.04;353;0
1757259683;9/7/2025 3:41:23 PM;25.25;0;45.63;995.1;2.16;0;0
1757259746;9/7/2025 3:42:26 PM;25.38;0;45.85;995.0;3.6;349;0
1757259808;9/7/2025 3:43:28 PM;25.42;0;45.25;995.0;8.64;318;0
1757259871;9/7/2025 3:44:31 PM;25.36;0;45.8;995.2;6.48;333;0
1757259934;9/7/2025 3:45:34 PM;25.29;0;43.67;995.0;1.44;155;0
1757259997;9/7/2025 3:46:37 PM;25.21;0;44.92;995.1;4.68;351;0
1757260059;9/7/2025 3:47:39 PM;25.25;0;44.8;995.1;2.16;3;0
1757260122;9/7/2025 3:48:42 PM;25.37;0;44.81;995.2;4.68;48;0
1757260185;9/7/2025 3:49:45 PM;25.46;0;44.95;995.2;4.32;355;0
1757260247;9/7/2025 3:50:47 PM;25.4;0;43.82;995.2;5.04;333;0
