NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
2;Toyota GR86;Am;27;1:38.326;5;1:38.366;20;1:38.367;14;1:38.368;21;1:38.371;17;1:38.376;6;1:38.490;19;1:38.496;18;1:38.525;12;1:38.531;7;1:38.421
3;Toyota GR86;Am;27;1:39.167;9;1:39.284;10;1:39.387;7;1:39.552;20;1:39.611;18;1:39.690;26;1:39.710;15;1:39.725;5;1:39.790;19;1:39.805;21;1:39.572
5;Toyota GR86;Am;27;1:39.083;23;1:39.213;27;1:39.251;20;1:39.281;24;1:39.306;12;1:39.354;25;1:39.453;8;1:39.475;13;1:39.481;9;1:39.481;16;1:39.337
7;Toyota GR86;Am;27;1:38.581;9;1:38.589;14;1:38.603;10;1:38.661;11;1:38.758;23;1:38.764;13;1:38.792;12;1:38.798;7;1:38.869;17;1:38.890;24;1:38.730
13;Toyota GR86;Am;27;1:37.428;8;1:37.513;7;1:37.543;6;1:37.642;9;1:37.679;10;1:37.694;11;1:37.798;5;1:37.864;4;1:37.923;13;1:37.948;12;1:37.703
18;Toyota GR86;Am;26;1:41.379;19;1:41.516;18;1:41.656;20;1:41.720;11;1:41.958;22;1:42.097;12;1:42.109;13;1:42.115;21;1:42.149;7;1:42.169;24;1:41.886
21;Toyota GR86;Am;27;1:38.775;21;1:38.905;20;1:39.005;8;1:39.089;19;1:39.133;26;1:39.137;23;1:39.164;18;1:39.244;5;1:39.261;24;1:39.265;17;1:39.097
31;Toyota GR86;Am;27;1:38.542;7;1:38.716;22;1:38.823;8;1:39.044;25;1:39.049;9;1:39.100;26;1:39.105;12;1:39.153;19;1:39.188;27;1:39.189;13;1:38.990
41;Toyota GR86;Am;27;1:38.391;14;1:38.542;13;1:38.578;6;1:38.619;5;1:38.636;11;1:38.666;9;1:38.695;7;1:38.699;24;1:38.777;25;1:38.812;15;1:38.641
46;Toyota GR86;Am;27;1:38.202;14;1:38.342;5;1:38.404;11;1:38.610;12;1:38.731;20;1:38.767;7;1:38.774;6;1:38.779;17;1:38.798;16;1:38.836;13;1:38.624
47;Toyota GR86;Am;27;1:38.251;7;1:38.348;21;1:38.355;19;1:38.372;5;1:38.396;22;1:38.461;20;1:38.469;13;1:38.512;17;1:38.517;25;1:38.541;14;1:38.422
51;Toyota GR86;Am;27;1:39.410;12;1:39.523;7;1:39.530;9;1:39.543;14;1:39.657;19;1:39.665;5;1:39.752;13;1:39.782;15;1:39.836;17;1:39.858;25;1:39.655
55;Toyota GR86;Am;27;1:38.094;7;1:38.149;15;1:38.165;20;1:38.249;13;1:38.269;23;1:38.329;6;1:38.333;16;1:38.383;17;1:38.386;14;1:38.399;10;1:38.275
58;Toyota GR86;Am;27;1:40.156;7;1:40.226;8;1:40.297;14;1:40.361;6;1:40.474;9;1:40.571;11;1:40.604;20;1:40.712;17;1:40.740;22;1:40.769;24;1:40.491
72;Toyota GR86;Am;27;1:37.737;7;1:37.834;6;1:37.938;5;1:38.103;8;1:38.121;9;1:38.246;16;1:38.278;10;1:38.348;12;1:38.406;11;1:38.426;4;1:38.143
80;Toyota GR86;Am;27;1:39.807;5;1:39.811;12;1:39.927;26;1:39.933;11;1:39.992;21;1:40.130;13;1:40.160;20;1:40.196;17;1:40.275;7;1:40.279;14;1:40.051
88;Toyota GR86;Am;13;1:38.845;7;1:39.117;6;1:39.441;5;1:39.667;9;1:39.926;11;1:39.929;8;1:39.941;12;1:40.421;10;1:42.233;4;1:57.183;3;1:41.670
93;Toyota GR86;Am;27;1:39.332;6;1:39.535;7;1:39.675;8;1:39.692;9;1:39.727;14;1:39.730;11;1:39.752;19;1:39.785;26;1:39.788;5;1:39.819;25;1:39.683
98;Toyota GR86;Am;27;1:38.086;7;1:38.297;14;1:38.350;6;1:38.364;19;1:38.449;18;1:38.459;21;1:38.491;25;1:38.496;20;1:38.537;8;1:38.556;15;1:38.408
111;Toyota GR86;Am;27;1:38.944;24;1:39.027;22;1:39.056;9;1:39.141;7;1:39.168;26;1:39.208;19;1:39.210;10;1:39.214;21;1:39.242;25;1:39.283;13;1:39.149
113;Toyota GR86;Am;27;1:39.056;14;1:39.071;13;1:39.109;27;1:39.117;21;1:39.142;26;1:39.167;20;1:39.182;10;1:39.195;5;1:39.219;19;1:39.230;23;1:39.148
22;Toyota GR86;Am;27;1:37.746;7;1:37.788;6;1:37.881;26;1:37.884;24;1:37.900;5;1:38.009;8;1:38.038;17;1:38.042;27;1:38.075;21;1:38.082;10;1:37.944
