expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,timestamp,vehicle_id,vehicle_number
,1,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:05:49.142Z,GR86-002-000,0,2025-09-07T15:05:48.003Z,GR86-002-000,0
,2,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:07:28.620Z,GR86-002-000,0,2025-09-07T15:07:27.981Z,GR86-002-000,0
,3,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:09:06.524Z,GR86-002-000,0,2025-09-07T15:09:06.304Z,GR86-002-000,0
,4,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:10:45.457Z,GR86-002-000,0,2025-09-07T15:10:44.473Z,GR86-002-000,0
,5,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:12:23.343Z,GR86-002-000,0,2025-09-07T15:12:22.323Z,GR86-002-000,0
,6,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:14:02.963Z,GR86-002-000,0,2025-09-07T15:14:00.757Z,GR86-002-000,0
,7,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:15:39.797Z,GR86-002-000,0,2025-09-07T15:15:38.819Z,GR86-002-000,0
,8,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:17:18.045Z,GR86-002-000,0,2025-09-07T15:17:17.383Z,GR86-002-000,0
,9,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:18:55.990Z,GR86-002-000,0,2025-09-07T15:18:55.492Z,GR86-002-000,0
,10,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:20:35.234Z,GR86-002-000,0,2025-09-07T15:20:33.907Z,GR86-002-000,0
,11,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:22:14.314Z,GR86-002-000,0,2025-09-07T15:22:13.194Z,GR86-002-000,0
,12,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:23:52.545Z,GR86-002-000,0,2025-09-07T15:23:51.861Z,GR86-002-000,0
,13,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:25:32.904Z,GR86-002-000,0,2025-09-07T15:25:29.958Z,GR86-002-000,0
,14,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:27:09.322Z,GR86-002-000,0,2025-09-07T15:27:07.855Z,GR86-002-000,0
,15,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:28:49.489Z,GR86-002-000,0,2025-09-07T15:28:45.951Z,GR86-002-000,0
,16,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:30:39.761Z,GR86-002-000,0,2025-09-07T15:30:24.083Z,GR86-002-000,0
,17,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:32:04.766Z,GR86-002-000,0,2025-09-07T15:32:02.090Z,GR86-002-000,0
,18,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:33:40.390Z,GR86-002-000,0,2025-09-07T15:33:39.757Z,GR86-002-000,0
,19,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:35:18.762Z,GR86-002-000,0,2025-09-07T15:35:17.907Z,GR86-002-000,0
,20,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:36:56.318Z,GR86-002-000,0,2025-09-07T15:36:56.091Z,GR86-002-000,0
,21,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:38:35.138Z,GR86-002-000,0,2025-09-07T15:38:34.383Z,GR86-002-000,0
,22,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:40:14.116Z,GR86-002-000,0,2025-09-07T15:40:12.334Z,GR86-002-000,0
,23,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:41:52.125Z,GR86-002-000,0,2025-09-07T15:41:50.991Z,GR86-002-000,0
,24,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:43:29.227Z,GR86-002-000,0,2025-09-07T15:43:28.973Z,GR86-002-000,0
,25,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:45:07.334Z,GR86-002-000,0,2025-09-07T15:45:07.080Z,GR86-002-000,0
,26,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:46:49.330Z,GR86-002-000,0,2025-09-07T15:46:45.604Z,GR86-002-000,0
,27,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:48:25.173Z,GR86-002-000,0,2025-09-07T15:48:23.680Z,GR86-002-000,0
,1,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:05:49.482Z,GR86-004-78,0,2025-09-07T15:05:49.310Z,GR86-004-78,78
,2,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:07:35.392Z,GR86-004-78,0,2025-09-07T15:07:33.651Z,GR86-004-78,78
,3,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:09:14.546Z,GR86-004-78,0,2025-09-07T15:09:13.509Z,GR86-004-78,78
,4,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:10:53.789Z,GR86-004-78,0,2025-09-07T15:10:52.936Z,GR86-004-78,78
,5,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:12:33.373Z,GR86-004-78,0,2025-09-07T15:12:32.451Z,GR86-004-78,78
,6,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:14:16.298Z,GR86-004-78,0,2025-09-07T15:14:11.830Z,GR86-004-78,78
,7,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:15:56.881Z,GR86-004-78,0,2025-09-07T15:15:51.439Z,GR86-004-78,78
,8,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:17:30.899Z,GR86-004-78,0,2025-09-07T15:17:30.253Z,GR86-004-78,78
,9,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:19:15.979Z,GR86-004-78,0,2025-09-07T15:19:15.704Z,GR86-004-78,78
,10,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:22:56.470Z,GR86-004-78,0,2025-09-07T15:22:56.244Z,GR86-004-78,78
,11,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:24:47.496Z,GR86-004-78,0,2025-09-07T15:24:45.944Z,GR86-004-78,78
,12,I_R06_2025-09-07,R2,kafka:gr-raw,2025-09-07T15:26:26.481Z,GR86-004-78,0,2025-09-07T15:26:25.438Z,GR86-004-78,78
