expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,timestamp,vehicle_id,vehicle_number
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.927Z,GR86-002-000,0,2025-09-06T18:40:41.775Z,GR86-002-000,0
,3,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:42:28.189Z,GR86-002-000,0,2025-09-06T18:42:25.504Z,GR86-002-000,0
,4,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:44:42.583Z,GR86-002-000,0,2025-09-06T18:44:41.000Z,GR86-002-000,0
,5,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:46:44.358Z,GR86-002-000,0,2025-09-06T18:46:42.663Z,GR86-002-000,0
,6,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:48:22.301Z,GR86-002-000,0,2025-09-06T18:48:21.403Z,GR86-002-000,0
,7,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:50:01.292Z,GR86-002-000,0,2025-09-06T18:49:59.666Z,GR86-002-000,0
,8,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:51:42.817Z,GR86-002-000,0,2025-09-06T18:51:38.082Z,GR86-002-000,0
,9,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:53:48.034Z,GR86-002-000,0,2025-09-06T18:53:16.605Z,GR86-002-000,0
,10,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:54:55.675Z,GR86-002-000,0,2025-09-06T18:54:55.377Z,GR86-002-000,0
,11,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:56:36.361Z,GR86-002-000,0,2025-09-06T18:56:34.776Z,GR86-002-000,0
,12,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:58:15.351Z,GR86-002-000,0,2025-09-06T18:58:13.956Z,GR86-002-000,0
,13,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:59:52.822Z,GR86-002-000,0,2025-09-06T18:59:52.579Z,GR86-002-000,0
,14,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:01:34.320Z,GR86-002-000,0,2025-09-06T19:01:31.118Z,GR86-002-000,0
,15,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:03:09.911Z,GR86-002-000,0,2025-09-06T19:03:09.708Z,GR86-002-000,0
,16,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:04:51.106Z,GR86-002-000,0,2025-09-06T19:04:47.997Z,GR86-002-000,0
,17,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:06:27.257Z,GR86-002-000,0,2025-09-06T19:06:26.712Z,GR86-002-000,0
,18,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:08:06.443Z,GR86-002-000,0,2025-09-06T19:08:05.383Z,GR86-002-000,0
,19,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:09:46.584Z,GR86-002-000,0,2025-09-06T19:09:43.808Z,GR86-002-000,0
,20,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:11:22.885Z,GR86-002-000,0,2025-09-06T19:11:22.282Z,GR86-002-000,0
,21,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:13:04.812Z,GR86-002-000,0,2025-09-06T19:13:00.727Z,GR86-002-000,0
,22,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:14:40.264Z,GR86-002-000,0,2025-09-06T19:14:39.072Z,GR86-002-000,0
,23,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:16:18.563Z,GR86-002-000,0,2025-09-06T19:16:17.494Z,GR86-002-000,0
,24,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:17:57.809Z,GR86-002-000,0,2025-09-06T19:17:56.073Z,GR86-002-000,0
,25,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:19:35.362Z,GR86-002-000,0,2025-09-06T19:19:34.695Z,GR86-002-000,0
,26,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:21:13.889Z,GR86-002-000,0,2025-09-06T19:21:13.466Z,GR86-002-000,0
,27,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:22:54.262Z,GR86-002-000,0,2025-09-06T19:22:52.265Z,GR86-002-000,0
,28,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T19:24:32.794Z,GR86-002-000,0,2025-09-06T19:24:31.471Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:49.987Z,GR86-004-78,0,2025-09-06T18:40:43.602Z,GR86-004-78,78
,3,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:42:36.468Z,GR86-004-78,0,2025-09-06T18:42:36.168Z,GR86-004-78,78
,4,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:44:50.347Z,GR86-004-78,0,2025-09-06T18:44:49.850Z,GR86-004-78,78
