expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,timestamp,vehicle_id,vehicle_number
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:44:21.643Z,GR86-025-47,0,2025-10-18T12:44:19.177Z,GR86-025-47,47
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:56.163Z,GR86-025-47,0,2025-10-18T12:46:55.203Z,GR86-025-47,47
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.458Z,GR86-025-47,0,2025-10-18T12:49:22.153Z,GR86-025-47,47
,3,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:51:08.684Z,GR86-025-47,0,2025-10-18T12:51:08.552Z,GR86-025-47,47
,4,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:52:50.595Z,GR86-025-47,0,2025-10-18T12:52:49.175Z,GR86-025-47,47
,5,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:54:33.756Z,GR86-025-47,0,2025-10-18T12:54:29.662Z,GR86-025-47,47
,6,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:56:11.646Z,GR86-025-47,0,2025-10-18T12:56:10.290Z,GR86-025-47,47
,6,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:56:11.646Z,GR86-025-47,0,2025-10-18T12:56:10.295Z,GR86-025-47,47
,7,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:57:54.262Z,GR86-025-47,0,2025-10-18T12:57:51.235Z,GR86-025-47,47
,7,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:56:11.646Z,GR86-025-47,0,2025-10-18T12:56:10.293Z,GR86-025-47,47
,8,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:59:40.553Z,GR86-025-47,0,2025-10-18T12:59:32.632Z,GR86-025-47,47
,9,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:01:19.566Z,GR86-025-47,0,2025-10-18T13:01:13.365Z,GR86-025-47,47
,10,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:02:56.626Z,GR86-025-47,0,2025-10-18T13:02:55.551Z,GR86-025-47,47
,11,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:04:36.574Z,GR86-025-47,0,2025-10-18T13:04:36.125Z,GR86-025-47,47
,12,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:06:16.871Z,GR86-025-47,0,2025-10-18T13:06:16.469Z,GR86-025-47,47
,13,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:07:57.818Z,GR86-025-47,0,2025-10-18T13:07:57.461Z,GR86-025-47,47
,14,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:10:17.422Z,GR86-025-47,0,2025-10-18T13:10:17.137Z,GR86-025-47,47
,15,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:12:52.599Z,GR86-025-47,0,2025-10-18T13:12:51.652Z,GR86-025-47,47
,16,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:16:18.165Z,GR86-025-47,0,2025-10-18T13:15:17.676Z,GR86-025-47,47
,17,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:17:34.470Z,GR86-025-47,0,2025-10-18T13:17:30.969Z,GR86-025-47,47
,18,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:19:14.383Z,GR86-025-47,0,2025-10-18T13:19:13.773Z,GR86-025-47,47
,19,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:20:59.887Z,GR86-025-47,0,2025-10-18T13:20:55.879Z,GR86-025-47,47
,20,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:22:37.705Z,GR86-025-47,0,2025-10-18T13:22:37.159Z,GR86-025-47,47
,21,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:24:19.877Z,GR86-025-47,0,2025-10-18T13:24:19.472Z,GR86-025-47,47
,22,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:26:01.814Z,GR86-025-47,0,2025-10-18T13:26:01.491Z,GR86-025-47,47
,23,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:27:42.646Z,GR86-025-47,0,2025-10-18T13:27:42.234Z,GR86-025-47,47
,24,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:29:24.300Z,GR86-025-47,0,2025-10-18T13:29:22.827Z,GR86-025-47,47
,25,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:31:05.081Z,GR86-025-47,0,2025-10-18T13:31:03.539Z,GR86-025-47,47
,26,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:32:45.715Z,GR86-025-47,0,2025-10-18T13:32:44.467Z,GR86-025-47,47
,27,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:34:26.138Z,GR86-025-47,0,2025-10-18T13:34:25.598Z,GR86-025-47,47
,27,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:34:26.139Z,GR86-025-47,0,2025-10-18T13:34:25.601Z,GR86-025-47,47
,28,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:34:26.138Z,GR86-025-47,0,2025-10-18T13:34:25.599Z,GR86-025-47,47
,28,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T13:36:08.081Z,GR86-025-47,0,2025-10-18T13:36:06.644Z,GR86-025-47,47
