expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,timestamp,vehicle_id,vehicle_number
,1,I_R07_2025-10-19,R2,kafka:gr-cup-raw,2025-10-19T14:59:26.514Z,GR86-024-41,0,2025-10-19T14:59:23.869Z,GR86-024-41,41
,2,I_R07_2025-10-19,R2,kafka:gr-cup-raw,2025-10-19T15:02:04.908Z,GR86-024-41,0,2025-10-19T15:02:04.717Z,GR86-024-41,41
,3,I_R07_2025-10-19,R2,kafka:gr-cup-raw,2025-10-19T15:04:35.523Z,GR86-024-41,0,2025-10-19T15:04:35.103Z,GR86-024-41,41
,4,I_R07_2025-10-19,R2,kafka:gr-cup-raw,2025-10-19T15:07:08.774Z,GR86-024-41,0,2025-10-19T15:06:24.131Z,GR86-024-41,41
,5,I_R07_2025-10-19,R2,kafka:gr-cup-raw,2025-10-19T15:09:00.620Z,GR86-024-41,0,2025-10-19T15:08:27.674Z,GR86-024-41,41
,6,I_R07_2025-10-19,R2,kafka:gr-cup-raw,2025-10-19T15:10:43.403Z,GR86-024-41,0,2025-10-19T15:10:43.033Z,GR86-024-41,41
,7,I_R07_2025-10-19,R2,kafka:gr-cup-raw,2025-10-19T15:12:26.985Z,GR86-024-41,0,2025-10-19T15:12:26.592Z,GR86-024-41,41
,8,I_R07_2025-10-19,R2,kafka:gr-cup-raw,2025-10-19T15:14:09.394Z,GR86-024-41,0,2025-10-19T15:14:09.066Z,GR86-024-41,41
,9,I_R07_2025-10-19,R2,kafka:gr-cup-raw,2025-10-19T15:15:52.059Z,GR86-024-41,0,2025-10-19T15:15:50.539Z,GR86-024-41,41
,10,I_R07_2025-10-19,R2,kafka:gr-cup-raw,2025-10-19T15:17:34.040Z,GR86-024-41,0,2025-10-19T15:17:33.298Z,GR86-024-41,41
,11,I_R07_2025-10-19,R2,kafka:gr-cup-raw,2025-10-19T15:19:15.759Z,GR86-024-41,0,2025-10-19T15:19:14.952Z,GR86-024-41,41
