NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;PIT_TIME;CLASS;GROUP;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed
3;1;1;4:23.648;0;;1:31.594;0;1:26.697;0;1:25.357;0;89.0;4:23.648;14:31:08.857;1:31.594;1:26.697;1:25.357;168.2;0:00:42.522;Am;;Toyota Gazoo Racing;FCY;91.594;86.697;85.357;1:01.261;1:01.261;30.333;1:31.594;40.751;2:12.345;45.946;2:58.291;48.364;3:46.655;36.993;4:23.648
3;1;2;3:52.091;0;;1:08.576;0;1:25.338;0;1:18.177;0;101.0;8:15.739;14:35:00.948;1:08.576;1:25.338;1:18.177;152.1;;Am;;Toyota Gazoo Racing;FCY;68.576;85.338;78.177;32.303;32.303;36.273;1:08.576;41.928;1:50.504;43.41;2:33.914;40.609;3:14.523;37.568;3:52.091
3;1;3;3:23.476;0;;1:01.890;0;1:15.036;0;1:06.550;0;115.3;11:39.215;14:38:24.424;1:01.890;1:15.036;1:06.550;160.0;;Am;;Toyota Gazoo Racing;GF;61.89;75.036;66.55;27.325;27.325;34.565;1:01.890;35.158;1:37.048;39.878;2:16.926;36.915;2:53.841;29.635;3:23.476
3;1;4;2:51.952;0;;48.911;0;1:06.137;0;56.904;0;136.4;14:31.167;14:41:16.376;0:48.911;1:06.137;0:56.904;202.2;;Am;;Toyota Gazoo Racing;GF;48.911;66.137;56.904;20.998;20.998;27.913;48.911;32.614;1:21.525;33.523;1:55.048;30.871;2:25.919;26.033;2:51.952
3;1;5;2:53.113;0;;48.947;0;1:07.827;0;56.339;0;135.5;17:24.280;14:44:09.489;0:48.947;1:07.827;0:56.339;201.1;;Am;;Toyota Gazoo Racing;GF;48.947;67.827;56.339;20.411;20.411;28.536;48.947;34.132;1:23.079;33.695;1:56.774;30.603;2:27.377;25.736;2:53.113
3;1;6;2:50.584;0;;47.719;0;1:06.653;0;56.212;0;137.5;20:14.864;14:47:00.073;0:47.719;1:06.653;0:56.212;204.2;;Am;;Toyota Gazoo Racing;GF;47.719;66.653;56.212;20.092;20.092;27.627;47.719;33.463;1:21.182;33.19;1:54.372;30.507;2:24.879;25.705;2:50.584
3;1;7;2:50.150;0;;47.910;0;1:06.320;0;55.920;0;137.8;23:05.014;14:49:50.223;0:47.910;1:06.320;0:55.920;204.2;;Am;;Toyota Gazoo Racing;GF;47.91;66.32;55.92;20.199;20.199;27.711;47.910;33.074;1:20.984;33.246;1:54.230;30.338;2:24.568;25.582;2:50.150
3;1;8;2:50.648;0;;47.819;0;1:06.454;0;56.375;0;137.4;25:55.662;14:52:40.871;0:47.819;1:06.454;0:56.375;203.0;;Am;;Toyota Gazoo Racing;GF;47.819;66.454;56.375;20.165;20.165;27.654;47.819;33.099;1:20.918;33.355;1:54.273;30.43;2:24.703;25.945;2:50.648
3;1;9;2:48.393;0;;47.713;0;1:04.509;0;56.171;0;139.3;28:44.055;14:55:29.264;0:47.713;1:04.509;0:56.171;201.1;;Am;;Toyota Gazoo Racing;GF;47.713;64.509;56.171;20.022;20.022;27.691;47.713;31.711;1:19.424;32.798;1:52.222;30.275;2:22.497;25.896;2:48.393
3;1;10;2:48.780;0;;48.104;0;1:05.016;0;55.660;0;139.0;31:32.835;14:58:18.044;0:48.104;1:05.016;0:55.660;201.1;;Am;;Toyota Gazoo Racing;GF;48.104;65.016;55.66;20.507;20.507;27.597;48.104;31.923;1:20.027;33.093;1:53.120;30.151;2:23.271;25.509;2:48.780
3;1;11;2:48.435;0;;47.483;0;1:03.931;0;57.021;0;139.2;34:21.270;15:01:06.479;0:47.483;1:03.931;0:57.021;201.1;;Am;;Toyota Gazoo Racing;GF;47.483;63.931;57.021;20.105;20.105;27.378;47.483;31.464;1:18.947;32.467;1:51.414;30.608;2:22.022;26.413;2:48.435
3;1;12;2:46.157;0;;;0;;0;55.564;0;141.1;37:07.427;15:03:52.636;;;0:55.564;203.0;;Am;;Toyota Gazoo Racing;GF;;;55.564;20.192;20.192;;;;1:18.268;32.325;1:50.593;29.92;2:20.513;25.644;2:46.157
3;1;13;2:45.754;0;;46.946;2;1:03.120;2;55.688;0;141.5;39:53.181;15:06:38.390;0:46.946;1:03.120;0:55.688;203.0;;Am;;Toyota Gazoo Racing;GF;46.946;63.12;55.688;19.831;19.831;27.115;46.946;30.981;1:17.927;32.139;1:50.066;30.036;2:20.102;25.652;2:45.754
3;1;14;2:46.566;0;;;0;;0;55.409;0;140.8;42:39.747;15:09:24.956;;;0:55.409;203.0;;Am;;Toyota Gazoo Racing;GF;;;55.409;19.845;19.845;;;;1:18.902;32.255;1:51.157;29.806;2:20.963;25.603;2:46.566
3;1;15;2:44.837;2;;;0;;0;54.775;2;142.3;45:24.584;15:12:09.793;;;0:54.775;202.2;;Am;;Toyota Gazoo Racing;FF;;;54.775;19.701;19.701;;;;1:17.866;32.196;1:50.062;29.552;2:19.614;25.223;2:44.837
11;1;1;4:22.675;0;;1:31.034;0;1:26.360;0;1:25.281;0;89.3;4:22.675;14:31:07.884;1:31.034;1:26.360;1:25.281;170.1;0:00:39.850;Am;Legends;Toyota Gazoo Racing;FCY;91.034;86.36;85.281;59.976;59.976;31.058;1:31.034;40.381;2:11.415;45.979;2:57.394;48.531;3:45.925;36.75;4:22.675
11;1;2;3:51.987;0;;1:08.691;0;1:25.523;0;1:17.773;0;101.1;8:14.662;14:34:59.871;1:08.691;1:25.523;1:17.773;149.2;;Am;Legends;Toyota Gazoo Racing;FCY;68.691;85.523;77.773;31.924;31.924;36.767;1:08.691;41.878;1:50.569;43.645;2:34.214;40.367;3:14.581;37.406;3:51.987
11;1;3;3:24.138;0;;1:02.347;0;1:14.888;0;1:06.903;0;114.9;11:38.800;14:38:24.009;1:02.347;1:14.888;1:06.903;156.1;;Am;Legends;Toyota Gazoo Racing;GF;62.347;74.888;66.903;27.701;27.701;34.646;1:02.347;35.374;1:37.721;39.514;2:17.235;37.187;2:54.422;29.716;3:24.138
11;1;4;2:53.870;0;;49.123;0;1:07.348;0;57.399;0;134.9;14:32.670;14:41:17.879;0:49.123;1:07.348;0:57.399;202.2;;Am;Legends;Toyota Gazoo Racing;GF;49.123;67.348;57.399;21.122;21.122;28.001;49.123;33.199;1:22.322;34.149;1:56.471;31.313;2:27.784;26.086;2:53.870
11;1;5;2:52.787;0;;48.041;0;1:07.676;0;57.070;0;135.7;17:25.457;14:44:10.666;0:48.041;1:07.676;0:57.070;201.1;;Am;Legends;Toyota Gazoo Racing;GF;48.041;67.676;57.07;20.302;20.302;27.739;48.041;32.754;1:20.795;34.922;1:55.717;31.31;2:27.027;25.76;2:52.787
11;1;6;2:51.896;0;;47.980;0;1:06.514;0;57.402;0;136.4;20:17.353;14:47:02.562;0:47.980;1:06.514;0:57.402;201.1;;Am;Legends;Toyota Gazoo Racing;GF;47.98;66.514;57.402;20.269;20.269;27.711;47.980;32.95;1:20.930;33.564;1:54.494;31.012;2:25.506;26.39;2:51.896
11;1;7;2:50.597;0;;47.999;0;1:05.844;0;56.754;0;137.5;23:07.950;14:49:53.159;0:47.999;1:05.844;0:56.754;201.1;;Am;Legends;Toyota Gazoo Racing;GF;47.999;65.844;56.754;20.411;20.411;27.588;47.999;32.27;1:20.269;33.574;1:53.843;30.754;2:24.597;26.0;2:50.597
11;1;8;2:52.280;0;;48.049;0;1:07.273;0;56.958;0;136.1;26:00.230;14:52:45.439;0:48.049;1:07.273;0:56.958;201.1;;Am;Legends;Toyota Gazoo Racing;GF;48.049;67.273;56.958;20.328;20.328;27.721;48.049;33.458;1:21.507;33.815;1:55.322;30.652;2:25.974;26.306;2:52.280
11;1;9;2:49.753;0;;47.675;0;1:05.472;0;56.606;0;138.2;28:49.983;14:55:35.192;0:47.675;1:05.472;0:56.606;204.2;;Am;Legends;Toyota Gazoo Racing;GF;47.675;65.472;56.606;20.249;20.249;27.426;47.675;32.29;1:19.965;33.182;1:53.147;30.501;2:23.648;26.105;2:49.753
11;1;10;2:50.984;0;;48.325;0;1:06.427;0;56.232;0;137.2;31:40.967;14:58:26.176;0:48.325;1:06.427;0:56.232;202.2;;Am;Legends;Toyota Gazoo Racing;GF;48.325;66.427;56.232;20.587;20.587;27.738;48.325;33.365;1:21.690;33.062;1:54.752;30.536;2:25.288;25.696;2:50.984
11;1;11;2:48.179;0;;47.944;0;1:04.305;2;55.930;0;139.5;34:29.146;15:01:14.355;0:47.944;1:04.305;0:55.930;201.1;;Am;Legends;Toyota Gazoo Racing;GF;47.944;64.305;55.93;20.306;20.306;27.638;47.944;31.739;1:19.683;32.566;1:52.249;30.234;2:22.483;25.696;2:48.179
11;1;12;2:52.473;0;;;0;;0;1:01.019;0;136.0;37:21.619;15:04:06.828;;;1:01.019;200.0;;Am;Legends;Toyota Gazoo Racing;GF;;;61.019;20.146;20.146;;;;1:19.095;32.359;1:51.454;30.083;2:21.537;30.936;2:52.473
11;1;13;2:47.504;2;;47.264;2;1:04.881;0;55.359;2;140.0;40:09.123;15:06:54.332;0:47.264;1:04.881;0:55.359;204.2;;Am;Legends;Toyota Gazoo Racing;GF;47.264;64.881;55.359;20.105;20.105;27.159;47.264;32.542;1:19.806;32.339;1:52.145;29.53;2:21.675;25.829;2:47.504
11;1;14;2:48.323;0;;;0;;0;55.835;0;139.3;42:57.446;15:09:42.655;;;0:55.835;203.0;;Am;Legends;Toyota Gazoo Racing;GF;;;55.835;20.184;20.184;;;;1:19.896;32.592;1:52.488;30.159;2:22.647;25.676;2:48.323
11;1;15;2:48.195;0;;47.746;0;1:04.498;0;55.951;0;139.4;45:45.641;15:12:30.850;0:47.746;1:04.498;0:55.951;202.2;;Am;Legends;Toyota Gazoo Racing;FF;47.746;64.498;55.951;20.177;20.177;27.569;47.746;31.432;1:19.178;33.066;1:52.244;30.421;2:22.665;25.53;2:48.195
113;1;1;4:18.295;0;;1:22.117;0;1:30.499;0;1:25.679;0;90.8;4:18.295;14:31:03.504;1:22.117;1:30.499;1:25.679;159.1;0:00:26.445;Am;;Toyota Gazoo Racing;FCY;82.117;90.499;85.679;45.159;45.159;36.958;1:22.117;44.38;2:06.497;46.119;2:52.616;48.441;3:41.057;37.238;4:18.295
113;1;2;3:49.258;0;;1:06.933;0;1:25.764;0;1:16.561;0;102.3;8:07.553;14:34:52.762;1:06.933;1:25.764;1:16.561;155.2;;Am;;Toyota Gazoo Racing;FCY;66.933;85.764;76.561;29.169;29.169;37.764;1:06.933;43.246;1:50.179;42.518;2:32.697;40.956;3:13.653;35.605;3:49.258
113;1;3;3:29.255;0;;1:02.232;0;1:17.923;0;1:09.100;0;112.1;11:36.808;14:38:22.017;1:02.232;1:17.923;1:09.100;151.0;;Am;;Toyota Gazoo Racing;GF;62.232;77.923;69.1;26.175;26.175;36.057;1:02.232;36.815;1:39.047;41.108;2:20.155;39.099;2:59.254;30.001;3:29.255
113;1;4;2:51.597;0;;48.317;0;1:06.089;0;57.191;0;136.7;14:28.405;14:41:13.614;0:48.317;1:06.089;0:57.191;199.3;;Am;;Toyota Gazoo Racing;GF;48.317;66.089;57.191;20.595;20.595;27.722;48.317;32.548;1:20.865;33.541;1:54.406;31.049;2:25.455;26.142;2:51.597
113;1;5;2:52.554;0;;48.133;0;1:07.014;0;57.407;0;135.9;17:20.959;14:44:06.168;0:48.133;1:07.014;0:57.407;201.1;;Am;;Toyota Gazoo Racing;GF;48.133;67.014;57.407;20.389;20.389;27.744;48.133;32.869;1:21.002;34.145;1:55.147;31.36;2:26.507;26.047;2:52.554
113;1;6;2:50.054;0;;48.423;0;1:05.262;0;56.369;0;137.9;20:11.013;14:46:56.222;0:48.423;1:05.262;0:56.369;202.2;;Am;;Toyota Gazoo Racing;GF;48.423;65.262;56.369;20.485;20.485;27.938;48.423;32.0;1:20.423;33.262;1:53.685;30.574;2:24.259;25.795;2:50.054
113;1;7;2:49.971;0;;48.387;0;1:05.339;0;56.245;0;138.0;23:00.984;14:49:46.193;0:48.387;1:05.339;0:56.245;203.0;;Am;;Toyota Gazoo Racing;GF;48.387;65.339;56.245;20.162;20.162;28.225;48.387;31.726;1:20.113;33.613;1:53.726;30.299;2:24.025;25.946;2:49.971
113;1;8;2:50.413;0;;48.484;0;1:05.876;0;56.053;0;137.6;25:51.397;14:52:36.606;0:48.484;1:05.876;0:56.053;204.2;;Am;;Toyota Gazoo Racing;GF;48.484;65.876;56.053;20.544;20.544;27.94;48.484;32.768;1:21.252;33.108;1:54.360;30.217;2:24.577;25.836;2:50.413
113;1;9;2:48.264;0;;47.898;0;1:04.331;0;56.035;0;139.4;28:39.661;14:55:24.870;0:47.898;1:04.331;0:56.035;206.1;;Am;;Toyota Gazoo Racing;GF;47.898;64.331;56.035;20.114;20.114;27.784;47.898;31.581;1:19.479;32.75;1:52.229;30.187;2:22.416;25.848;2:48.264
113;1;10;2:47.628;0;;47.628;0;1:03.942;0;56.058;0;139.9;31:27.289;14:58:12.498;0:47.628;1:03.942;0:56.058;204.2;;Am;;Toyota Gazoo Racing;GF;47.628;63.942;56.058;20.124;20.124;27.504;47.628;31.404;1:19.032;32.538;1:51.570;30.047;2:21.617;26.011;2:47.628
113;1;11;2:47.336;0;;47.490;0;1:04.821;0;55.025;0;140.2;34:14.625;15:00:59.834;0:47.490;1:04.821;0:55.025;204.2;;Am;;Toyota Gazoo Racing;GF;47.49;64.821;55.025;20.042;20.042;27.448;47.490;32.07;1:19.560;32.751;1:52.311;29.931;2:22.242;25.094;2:47.336
113;1;12;2:47.147;0;;;0;;0;55.654;0;140.3;37:01.772;15:03:46.981;;;0:55.654;206.1;;Am;;Toyota Gazoo Racing;GF;;;55.654;19.922;19.922;;;;1:19.739;31.754;1:51.493;29.709;2:21.202;25.945;2:47.147
113;1;13;2:45.084;0;;46.723;2;1:02.761;2;55.600;0;142.1;39:46.856;15:06:32.065;0:46.723;1:02.761;0:55.600;205.3;;Am;;Toyota Gazoo Racing;GF;46.723;62.761;55.6;19.661;19.661;27.062;46.723;30.894;1:17.617;31.867;1:49.484;29.918;2:19.402;25.682;2:45.084
113;1;14;2:44.993;2;;;0;;0;55.291;0;142.1;42:31.849;15:09:17.058;;;0:55.291;206.1;;Am;;Toyota Gazoo Racing;GF;;;55.291;19.659;19.659;;;;1:17.656;32.046;1:49.702;29.311;2:19.013;25.98;2:44.993
113;1;15;2:46.471;0;;;0;;0;54.742;2;140.9;45:18.320;15:12:03.529;;;0:54.742;202.2;;Am;;Toyota Gazoo Racing;FF;;;54.742;19.743;19.743;;;;1:18.612;33.117;1:51.729;29.458;2:21.187;25.284;2:46.471
