NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
2;Toyota GR86;Am;15;2:40.838;14;2:43.063;13;2:43.415;12;2:43.782;15;2:45.551;11;2:45.619;10;2:48.533;5;2:49.117;7;2:49.885;4;2:52.515;6;2:46.231
3;Toyota GR86;Am;15;2:44.837;15;2:45.754;13;2:46.157;12;2:46.566;14;2:48.393;9;2:48.435;11;2:48.780;10;2:50.150;7;2:50.584;6;2:50.648;8;2:48.030
5;Toyota GR86;Am;15;2:43.278;14;2:44.494;15;2:45.160;13;2:46.274;12;2:47.599;11;2:49.924;9;2:49.979;7;2:50.064;10;2:51.277;8;2:51.341;5;2:47.939
7;Toyota GR86;Am;15;2:43.792;14;2:44.897;15;2:45.988;12;2:46.734;13;2:46.854;9;2:47.687;8;2:47.825;10;2:48.071;11;2:48.947;6;2:49.064;7;2:46.985
8;Toyota GR86;Am;15;2:49.451;15;2:49.512;13;2:50.317;14;2:50.519;12;2:51.358;11;2:51.546;8;2:51.763;9;2:51.821;10;2:53.252;7;2:54.057;6;2:51.359
11;Toyota GR86;Am;15;2:47.504;13;2:48.179;11;2:48.195;15;2:48.323;14;2:49.753;9;2:50.597;7;2:50.984;10;2:51.896;6;2:52.280;8;2:52.473;12;2:50.018
12;Toyota GR86;Am;15;2:48.533;13;2:49.456;14;2:49.763;15;2:49.791;12;2:50.422;11;2:51.419;9;2:52.632;8;2:52.668;10;2:52.906;7;2:53.937;6;2:51.152
13;Toyota GR86;Am;15;2:43.417;14;2:44.678;15;2:45.772;13;2:45.910;12;2:46.375;10;2:47.306;9;2:47.574;11;2:47.938;8;2:49.025;6;2:49.410;5;2:46.740
15;Toyota GR86;Am;15;2:47.973;14;2:48.583;13;2:49.256;11;2:49.514;15;2:49.605;9;2:49.778;7;2:49.778;12;2:50.087;10;2:50.763;8;2:51.948;5;2:49.728
18;Toyota GR86;Am;15;2:54.295;12;2:54.745;13;2:55.292;14;2:56.148;11;2:56.322;15;2:56.360;10;2:57.396;8;2:57.473;9;2:59.041;7;3:00.633;6;2:56.770
21;Toyota GR86;Am;15;2:44.295;15;2:44.618;14;2:45.547;13;2:46.541;10;2:46.696;9;2:47.004;12;2:47.458;11;2:48.263;8;2:48.653;6;2:48.814;7;2:46.788
22;Toyota GR86;Am;15;2:43.405;13;2:43.580;15;2:44.197;14;2:44.791;12;2:46.664;9;2:47.264;10;2:47.416;11;2:47.745;7;2:47.971;8;2:48.661;5;2:46.169
31;Toyota GR86;Am;15;2:43.672;13;2:44.343;14;2:46.524;12;2:46.991;11;2:46.998;9;2:48.204;8;2:48.915;7;2:49.195;10;2:49.794;15;2:50.693;6;2:47.532
41;Toyota GR86;Am;15;2:43.506;15;2:43.834;14;2:45.303;13;2:46.609;11;2:46.936;12;2:49.299;10;2:50.026;9;2:50.616;7;2:51.463;6;2:52.170;5;2:47.976
46;Toyota GR86;Am;15;2:44.082;14;2:44.926;15;2:45.471;13;2:45.597;12;2:47.057;10;2:47.201;11;2:47.769;9;2:49.284;6;2:49.611;7;2:49.691;8;2:47.068
47;Toyota GR86;Am;15;2:44.239;13;2:45.657;14;2:46.407;12;2:46.821;9;2:46.976;15;2:47.293;11;2:47.758;8;2:48.567;10;2:49.012;7;2:49.152;5;2:47.188
51;Toyota GR86;Am;15;2:44.587;12;2:44.695;13;2:44.963;14;2:46.156;15;2:47.511;9;2:47.925;11;2:49.297;10;2:50.030;8;2:50.164;7;2:50.450;6;2:47.577
55;Toyota GR86;Am;15;2:43.767;14;2:44.554;15;2:45.974;12;2:46.315;13;2:46.844;10;2:47.204;9;2:47.530;11;2:48.397;8;2:48.894;7;2:49.104;5;2:46.858
57;Toyota GR86;Am;15;2:54.076;14;2:54.510;13;2:54.892;15;2:55.804;12;2:55.920;9;2:56.190;10;2:56.437;6;2:56.878;7;2:56.943;8;2:57.394;11;2:55.904
58;Toyota GR86;Am;15;2:45.040;15;2:45.439;14;2:45.940;13;2:46.675;10;2:47.336;11;2:47.559;12;2:48.256;9;2:48.760;8;2:49.826;6;2:49.946;5;2:47.477
71;Toyota GR86;Am;15;2:44.894;14;2:45.956;13;2:47.590;12;2:47.900;10;2:48.456;9;2:48.624;11;2:48.834;15;2:48.890;8;2:49.200;5;2:50.523;6;2:48.086
72;Toyota GR86;Am;15;2:43.269;15;2:44.076;14;2:44.635;13;2:46.545;12;2:47.247;10;2:47.433;9;2:47.971;11;2:48.878;8;2:49.515;5;2:50.748;7;2:47.031
80;Toyota GR86;Am;10;2:52.133;9;2:56.376;4;2:57.943;5;3:23.383;3;3:52.214;2;;0;;0;;0;;0;;0;3:12.409
86;Toyota GR86;Am;15;2:48.900;15;2:49.547;13;2:50.528;11;2:50.667;12;2:51.210;14;2:51.725;9;2:52.414;10;2:52.464;8;2:52.971;7;2:53.430;6;2:51.385
88;Toyota GR86;Am;15;2:42.431;15;2:42.615;14;2:44.328;13;2:46.616;12;2:47.182;10;2:47.605;9;2:47.970;11;2:48.379;8;2:49.776;6;2:49.930;7;2:46.683
89;Toyota GR86;Am;15;2:44.311;14;2:45.902;15;2:47.574;11;2:47.648;9;2:47.885;13;2:48.384;12;2:48.563;10;2:49.462;5;2:50.065;8;2:50.986;7;2:48.078
98;Toyota GR86;Am;15;2:44.157;15;2:45.074;14;2:45.491;12;2:46.655;10;2:47.149;9;2:47.532;13;2:47.778;7;2:48.087;11;2:48.729;8;2:48.778;5;2:46.943
113;Toyota GR86;Am;15;2:44.993;14;2:45.084;13;2:46.471;15;2:47.147;12;2:47.336;11;2:47.628;10;2:48.264;9;2:49.971;7;2:50.054;6;2:50.413;8;2:47.736
