CLASS_TYPE;POS;PIC;NUMBER;VEHICLE;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH
Am;1;1;2;Toyota GR86;17;46:59.428;;;8;2:31.882;154.4
Am;2;2;55;Toyota GR86;17;47:01.918;+2.490;+2.490;9;2:31.703;154.6
Am;3;3;98;Toyota GR86;17;47:04.351;+4.923;+2.433;16;2:31.723;154.6
Am;4;4;7;Toyota GR86;17;47:04.354;+4.926;+0.003;12;2:31.931;154.4
Am;5;5;13;Toyota GR86;17;47:05.599;+6.171;+1.245;9;2:31.884;154.4
Am;6;6;113;Toyota GR86;17;47:10.076;+10.648;+4.477;10;2:32.292;154.0
Am;7;7;88;Toyota GR86;17;47:10.366;+10.938;+0.290;3;2:32.638;153.6
Am;8;8;46;Toyota GR86;17;47:17.705;+18.277;+7.339;3;2:31.705;154.6
Am;9;9;51;Toyota GR86;17;47:19.327;+19.899;+1.622;9;2:33.144;153.1
Am;10;10;58;Toyota GR86;17;47:19.478;+20.050;+0.151;9;2:32.823;153.5
Am;11;11;3;Toyota GR86;17;47:19.753;+20.325;+0.275;14;2:32.938;153.3
Am;12;12;21;Toyota GR86;17;47:21.734;+22.306;+1.981;10;2:32.559;153.7
Am;13;13;41;Toyota GR86;17;47:22.441;+23.013;+0.707;3;2:32.488;153.8
Am;14;14;89;Toyota GR86;17;47:23.807;+24.379;+1.366;8;2:33.389;152.9
Am;15;15;11;Toyota GR86;17;47:37.623;+38.195;+13.816;7;2:34.521;151.8
Am;16;16;80;Toyota GR86;17;47:45.574;+46.146;+7.951;12;2:34.693;151.6
Am;17;17;86;Toyota GR86;17;47:45.873;+46.445;+0.299;12;2:35.415;150.9
Am;18;18;8;Toyota GR86;17;47:57.155;+57.727;+11.282;9;2:35.651;150.7
Am;19;19;31;Toyota GR86;17;47:57.566;+58.138;+0.411;16;2:32.106;154.2
Am;20;20;5;Toyota GR86;17;48:17.144;+1'17.716;+19.578;13;2:33.245;153.0
Am;21;21;12;Toyota GR86;17;48:20.904;+1'21.476;+3.760;9;2:36.008;150.3
Am;22;22;57;Toyota GR86;17;48:41.998;+1'42.570;+21.094;9;2:39.213;147.3
Am;23;23;18;Toyota GR86;17;48:46.106;+1'46.678;+4.108;10;2:40.540;146.1
Am;24;24;71;Toyota GR86;3;7:44.523;14 Laps;14 Laps;2;2:32.776;153.5
Am;25;25;22;Toyota GR86;2;5:08.569;15 Laps;1 Laps;2;2:32.467;153.8
Am;26;26;72;Toyota GR86;17;47:01.563;+2.135;-15 Laps;10;2:31.714;154.6
Am;27;27;47;Toyota GR86;17;47:01.739;+2.311;+0.176;12;2:31.810;154.5
Am;28;28;15;Toyota GR86;0;;17 Laps;17 Laps;0;;
