TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN
1755452747;8/17/2025 5:45:47 PM;22.64;30.9;70.85;981.1;2.88;309;0
1755452810;8/17/2025 5:46:50 PM;22.63;30.8;70.94;981.0;3.96;40;0
1755452873;8/17/2025 5:47:53 PM;22.6;30.8;70.56;981.0;7.56;276;0
1755452936;8/17/2025 5:48:56 PM;22.51;30.8;71.15;981.0;5.4;241;0
1755452998;8/17/2025 5:49:58 PM;22.47;30.7;71.46;981.0;5.76;255;0
1755453061;8/17/2025 5:51:01 PM;22.43;30.7;71.93;981.0;3.24;226;0
1755453124;8/17/2025 5:52:04 PM;22.4;30.7;71.94;981.1;2.16;341;0
1755453186;8/17/2025 5:53:06 PM;22.44;30.7;72.44;981.1;6.84;274;0
1755453249;8/17/2025 5:54:09 PM;22.41;30.6;71.78;981.1;4.68;211;0
1755453312;8/17/2025 5:55:12 PM;22.46;30.7;72.0;981.0;3.96;259;0
1755453374;8/17/2025 5:56:14 PM;22.51;30.7;72.7;981.0;5.76;181;0
1755453437;8/17/2025 5:57:17 PM;22.5;-999.0;72.56;981.0;4.68;247;0
1755453500;8/17/2025 5:58:20 PM;22.56;30.7;72.11;981.1;4.68;252;0
1755453562;8/17/2025 5:59:22 PM;22.58;30.7;72.27;981.0;4.32;252;0
1755453625;8/17/2025 6:00:25 PM;22.58;-999.0;72.05;981.1;5.76;239;0
1755453688;8/17/2025 6:01:28 PM;22.56;30.7;71.74;981.1;4.68;220;0
1755453750;8/17/2025 6:02:30 PM;22.57;30.7;71.93;981.0;4.32;160;0
1755453813;8/17/2025 6:03:33 PM;22.56;-999.0;72.03;981.0;3.24;312;0
1755453876;8/17/2025 6:04:36 PM;22.59;30.7;72.07;981.0;3.96;280;0
1755453939;8/17/2025 6:05:39 PM;22.63;30.7;71.36;981.0;6.12;209;0
1755454001;8/17/2025 6:06:41 PM;22.68;30.8;71.54;981.1;1.44;239;0
1755454064;8/17/2025 6:07:44 PM;22.76;30.8;71.99;981.1;3.24;245;0
1755454127;8/17/2025 6:08:47 PM;22.79;30.9;71.67;981.1;2.52;41;0
1755454189;8/17/2025 6:09:49 PM;22.9;31.0;71.63;981.1;2.88;160;0
1755454252;8/17/2025 6:10:52 PM;22.95;31.0;70.95;981.0;5.04;248;0
1755454315;8/17/2025 6:11:55 PM;22.94;31.0;70.73;981.1;2.16;45;0
1755454377;8/17/2025 6:12:57 PM;23.01;31.0;71.12;981.0;1.8;253;0
1755454440;8/17/2025 6:14:00 PM;23.1;31.0;71.56;981.2;1.44;120;0
1755454503;8/17/2025 6:15:03 PM;23.16;31.0;70.32;981.1;2.88;268;0
1755454565;8/17/2025 6:16:05 PM;23.13;31.0;70.37;981.0;2.88;201;0
1755454628;8/17/2025 6:17:08 PM;23.12;31.0;70.87;981.1;2.16;326;0
1755454691;8/17/2025 6:18:11 PM;23.04;30.9;71.56;981.1;2.88;220;0
1755454754;8/17/2025 6:19:14 PM;23.06;30.9;72.21;981.0;2.88;45;0
1755454816;8/17/2025 6:20:16 PM;23.09;31.0;72.79;981.1;1.08;32;0
1755454879;8/17/2025 6:21:19 PM;23.15;31.2;72.45;981.1;2.16;312;0
1755454942;8/17/2025 6:22:22 PM;23.18;31.3;72.55;981.0;1.44;334;0
1755455004;8/17/2025 6:23:24 PM;23.26;31.3;72.34;981.2;3.6;215;0
1755455067;8/17/2025 6:24:27 PM;23.3;31.5;71.86;981.0;2.88;309;0
1755455130;8/17/2025 6:25:30 PM;23.35;31.5;71.44;981.1;1.44;326;0
1755455192;8/17/2025 6:26:32 PM;23.37;31.6;71.68;981.1;6.12;301;0
1755455255;8/17/2025 6:27:35 PM;23.43;31.8;72.22;981.1;1.8;203;0
1755455318;8/17/2025 6:28:38 PM;23.53;31.8;72.25;981.0;8.28;278;0
1755455380;8/17/2025 6:29:40 PM;23.55;31.9;72.02;981.0;3.24;6;0
1755455443;8/17/2025 6:30:43 PM;23.48;31.8;71.58;981.0;12.6;275;0
1755455506;8/17/2025 6:31:46 PM;23.4;31.8;72.6;981.0;3.6;38;0
