CLASS_TYPE;POS;PIC;NUMBER;VEHICLE;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH
Am;1;1;13;Toyota GR86;19;46:23.022;;;4;2:25.437;149.0
Am;2;2;46;Toyota GR86;19;46:31.531;+8.509;+8.509;2;2:25.713;148.7
Am;3;3;7;Toyota GR86;19;46:32.194;+9.172;+0.663;10;2:26.184;148.2
Am;4;4;16;Toyota GR86;19;46:32.381;+9.359;+0.187;2;2:26.116;148.3
Am;5;5;78;Toyota GR86;19;46:35.548;+12.526;+3.167;7;2:26.253;148.2
Am;6;6;72;Toyota GR86;19;46:36.511;+13.489;+0.963;3;2:26.120;148.3
Am;7;7;2;Toyota GR86;19;46:46.078;+23.056;+9.567;3;2:26.334;148.1
Am;8;8;55;Toyota GR86;19;46:46.373;+23.351;+0.295;4;2:26.596;147.8
Am;9;9;15;Toyota GR86;19;46:58.800;+35.778;+12.427;4;2:26.855;147.5
Am;10;10;21;Toyota GR86;19;47:06.550;+43.528;+7.750;8;2:27.300;147.1
Am;11;11;113;Toyota GR86;19;47:06.788;+43.766;+0.238;3;2:27.390;147.0
Am;12;12;71;Toyota GR86;19;47:10.456;+47.434;+3.668;2;2:27.716;146.7
Am;13;13;3;Toyota GR86;19;47:25.514;+1'02.492;+15.058;5;2:28.603;145.8
Am;14;14;88;Toyota GR86;19;47:28.365;+1'05.343;+2.851;3;2:27.188;147.2
Am;15;15;80;Toyota GR86;19;47:30.620;+1'07.598;+2.255;3;2:28.554;145.9
Am;16;16;11;Toyota GR86;19;47:33.900;+1'10.878;+3.280;2;2:28.095;146.3
Am;17;17;47;Toyota GR86;19;47:51.850;+1'28.828;+17.950;4;2:27.724;146.7
Am;18;18;51;Toyota GR86;19;47:55.644;+1'32.622;+3.794;3;2:28.789;145.6
Am;19;19;41;Toyota GR86;19;54:24.271;+8'01.249;+6'28.627;4;2:27.339;147.1
Am;20;20;98;Toyota GR86;18;47:27.141;1 Laps;1 Laps;14;2:27.013;147.4
Am;21;21;31;Toyota GR86;16;39:57.268;3 Laps;2 Laps;4;2:27.222;147.2
Am;22;22;5;Toyota GR86;6;16:58.776;13 Laps;10 Laps;4;2:27.775;146.6
