NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;PIT_TIME;CLASS;GROUP;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed
3;1;1;2:38.824;0;;50.664;0;53.862;0;54.298;0;136.4;2:38.824;13:42:36.640;0:50.664;0:53.862;0:54.298;;;Am;;Toyota Gazoo Racing;GF;50.664;53.862;54.298;23.398;23.398;27.266;50.664;30.297;1:20.961;23.565;1:44.526;34.381;2:18.907;19.917;2:38.824
3;1;2;2:28.919;0;;44.083;2;51.552;0;53.284;0;145.5;5:07.743;13:45:05.559;0:44.083;0:51.552;0:53.284;;;Am;;Toyota Gazoo Racing;GF;44.083;51.552;53.284;17.866;17.866;26.217;44.083;29.325;1:13.408;22.227;1:35.635;33.588;2:09.223;19.696;2:28.919
3;1;3;2:28.798;0;;44.643;0;51.100;0;53.055;0;145.6;7:36.541;13:47:34.357;0:44.643;0:51.100;0:53.055;;;Am;;Toyota Gazoo Racing;GF;44.643;51.1;53.055;17.992;17.992;26.651;44.643;28.863;1:13.506;22.237;1:35.743;33.485;2:09.228;19.57;2:28.798
3;1;4;2:28.871;0;;44.289;0;51.551;0;53.031;0;145.6;10:05.412;13:50:03.228;0:44.289;0:51.551;0:53.031;;;Am;;Toyota Gazoo Racing;GF;44.289;51.551;53.031;17.925;17.925;26.364;44.289;29.161;1:13.450;22.39;1:35.840;33.349;2:09.189;19.682;2:28.871
3;1;5;2:28.603;2;;44.300;0;51.354;0;52.949;2;145.8;12:34.015;13:52:31.831;0:44.300;0:51.354;0:52.949;;;Am;;Toyota Gazoo Racing;GF;44.3;51.354;52.949;18.036;18.036;26.264;44.300;29.097;1:13.397;22.257;1:35.654;33.298;2:08.952;19.651;2:28.603
3;1;6;2:29.081;0;;44.091;0;51.527;0;53.463;0;145.3;15:03.096;13:55:00.912;0:44.091;0:51.527;0:53.463;;;Am;;Toyota Gazoo Racing;GF;44.091;51.527;53.463;17.853;17.853;26.238;44.091;29.24;1:13.331;22.287;1:35.618;33.553;2:09.171;19.91;2:29.081
3;1;7;2:28.778;0;;44.363;0;51.295;0;53.120;0;145.6;17:31.874;13:57:29.690;0:44.363;0:51.295;0:53.120;;;Am;;Toyota Gazoo Racing;GF;44.363;51.295;53.12;18.018;18.018;26.345;44.363;29.006;1:13.369;22.289;1:35.658;33.342;2:09.000;19.778;2:28.778
3;1;8;2:30.754;0;;45.100;0;52.480;0;53.174;0;143.7;20:02.628;14:00:00.444;0:45.100;0:52.480;0:53.174;;;Am;;Toyota Gazoo Racing;GF;45.1;52.48;53.174;18.231;18.231;26.869;45.100;30.015;1:15.115;22.465;1:37.580;33.375;2:10.955;19.799;2:30.754
3;1;9;2:29.139;0;;44.314;0;51.598;0;53.227;0;145.3;22:31.767;14:02:29.583;0:44.314;0:51.598;0:53.227;;;Am;;Toyota Gazoo Racing;GF;44.314;51.598;53.227;17.824;17.824;26.490;44.314;29.191;1:13.505;22.407;1:35.912;33.366;2:09.278;19.861;2:29.139
3;1;10;2:30.554;0;;44.594;0;51.903;0;54.057;0;143.9;25:02.321;14:05:00.137;0:44.594;0:51.903;0:54.057;;;Am;;Toyota Gazoo Racing;GF;44.594;51.903;54.057;17.968;17.968;26.626;44.594;29.518;1:14.112;22.385;1:36.497;33.965;2:10.462;20.092;2:30.554
