"meta_source","meta_time","meta_event","meta_session","timestamp","vehicle_id","outing","lap","expire_at","value"
"kafka:gr-raw","2025-05-17T18:26:31.200Z","I_R03_2025-05-18","R1","2025-05-17T18:26:30.493Z","GR86-006-7",0,19,,"2025-05-17T18:26:30.493Z"
"kafka:gr-raw","2025-05-17T18:24:04.002Z","I_R03_2025-05-18","R1","2025-05-17T18:24:03.229Z","GR86-006-7",0,18,,"2025-05-17T18:24:03.229Z"
"kafka:gr-raw","2025-05-17T18:24:04.001Z","I_R03_2025-05-18","R1","2025-05-17T18:24:03.183Z","GR86-006-7",0,19,,"2025-05-17T18:24:03.183Z"
"kafka:gr-raw","2025-05-17T18:24:04.001Z","I_R03_2025-05-18","R1","2025-05-17T18:24:03.179Z","GR86-006-7",0,18,,"2025-05-17T18:24:03.179Z"
"kafka:gr-raw","2025-05-17T18:21:37.292Z","I_R03_2025-05-18","R1","2025-05-17T18:21:35.543Z","GR86-006-7",0,17,,"2025-05-17T18:21:35.543Z"
"kafka:gr-raw","2025-05-17T18:19:08.611Z","I_R03_2025-05-18","R1","2025-05-17T18:19:08.225Z","GR86-006-7",0,16,,"2025-05-17T18:19:08.225Z"
"kafka:gr-raw","2025-05-17T18:16:41.504Z","I_R03_2025-05-18","R1","2025-05-17T18:16:40.502Z","GR86-006-7",0,15,,"2025-05-17T18:16:40.502Z"
"kafka:gr-raw","2025-05-17T18:14:16.621Z","I_R03_2025-05-18","R1","2025-05-17T18:14:13.180Z","GR86-006-7",0,14,,"2025-05-17T18:14:13.180Z"
"kafka:gr-raw","2025-05-17T18:11:46.838Z","I_R03_2025-05-18","R1","2025-05-17T18:11:46.080Z","GR86-006-7",0,13,,"2025-05-17T18:11:46.080Z"
"kafka:gr-raw","2025-05-17T18:09:19.401Z","I_R03_2025-05-18","R1","2025-05-17T18:09:18.915Z","GR86-006-7",0,12,,"2025-05-17T18:09:18.915Z"
"kafka:gr-raw","2025-05-17T18:06:52.436Z","I_R03_2025-05-18","R1","2025-05-17T18:06:51.917Z","GR86-006-7",0,11,,"2025-05-17T18:06:51.917Z"
"kafka:gr-raw","2025-05-17T18:04:26.324Z","I_R03_2025-05-18","R1","2025-05-17T18:04:25.154Z","GR86-006-7",0,10,,"2025-05-17T18:04:25.154Z"
"kafka:gr-raw","2025-05-17T18:01:59.221Z","I_R03_2025-05-18","R1","2025-05-17T18:01:58.988Z","GR86-006-7",0,9,,"2025-05-17T18:01:58.988Z"
"kafka:gr-raw","2025-05-17T17:59:33.865Z","I_R03_2025-05-18","R1","2025-05-17T17:59:32.497Z","GR86-006-7",0,8,,"2025-05-17T17:59:32.497Z"
"kafka:gr-raw","2025-05-17T17:57:08.213Z","I_R03_2025-05-18","R1","2025-05-17T17:57:06.256Z","GR86-006-7",0,7,,"2025-05-17T17:57:06.256Z"
"kafka:gr-raw","2025-05-17T17:57:08.213Z","I_R03_2025-05-18","R1","2025-05-17T17:57:06.234Z","GR86-006-7",0,8,,"2025-05-17T17:57:06.234Z"
"kafka:gr-raw","2025-05-17T17:57:08.212Z","I_R03_2025-05-18","R1","2025-05-17T17:57:06.233Z","GR86-006-7",0,7,,"2025-05-17T17:57:06.233Z"
"kafka:gr-raw","2025-05-17T17:54:41.589Z","I_R03_2025-05-18","R1","2025-05-17T17:54:39.793Z","GR86-006-7",0,6,,"2025-05-17T17:54:39.793Z"
"kafka:gr-raw","2025-05-17T17:52:13.739Z","I_R03_2025-05-18","R1","2025-05-17T17:52:13.185Z","GR86-006-7",0,5,,"2025-05-17T17:52:13.185Z"
"kafka:gr-raw","2025-05-17T17:52:13.734Z","I_R03_2025-05-18","R1","2025-05-17T17:52:13.157Z","GR86-006-7",0,6,,"2025-05-17T17:52:13.157Z"
"kafka:gr-raw","2025-05-17T17:52:13.734Z","I_R03_2025-05-18","R1","2025-05-17T17:52:13.156Z","GR86-006-7",0,5,,"2025-05-17T17:52:13.156Z"
"kafka:gr-raw","2025-05-17T17:49:48.061Z","I_R03_2025-05-18","R1","2025-05-17T17:49:46.600Z","GR86-006-7",0,4,,"2025-05-17T17:49:46.600Z"
"kafka:gr-raw","2025-05-17T17:47:20.067Z","I_R03_2025-05-18","R1","2025-05-17T17:47:19.811Z","GR86-006-7",0,3,,"2025-05-17T17:47:19.811Z"
