"meta_source","meta_time","meta_event","meta_session","timestamp","vehicle_id","outing","lap","value","expire_at"
"kafka:gr-raw","2025-05-17T18:26:31.200Z","I_R03_2025-05-18","R1","2025-05-17T18:26:30.493Z","GR86-006-7",0,19,147269,
"kafka:gr-raw","2025-05-17T18:24:04.002Z","I_R03_2025-05-18","R1","2025-05-17T18:24:03.229Z","GR86-006-7",0,18,44,
"kafka:gr-raw","2025-05-17T18:24:04.001Z","I_R03_2025-05-18","R1","2025-05-17T18:24:03.183Z","GR86-006-7",0,19,0,
"kafka:gr-raw","2025-05-17T18:24:04.001Z","I_R03_2025-05-18","R1","2025-05-17T18:24:03.179Z","GR86-006-7",0,18,147683,
"kafka:gr-raw","2025-05-17T18:21:37.292Z","I_R03_2025-05-18","R1","2025-05-17T18:21:35.543Z","GR86-006-7",0,17,147277,
"kafka:gr-raw","2025-05-17T18:19:08.611Z","I_R03_2025-05-18","R1","2025-05-17T18:19:08.225Z","GR86-006-7",0,16,147710,
"kafka:gr-raw","2025-05-17T18:16:41.504Z","I_R03_2025-05-18","R1","2025-05-17T18:16:40.502Z","GR86-006-7",0,15,147317,
"kafka:gr-raw","2025-05-17T18:14:16.621Z","I_R03_2025-05-18","R1","2025-05-17T18:14:13.180Z","GR86-006-7",0,14,147094,
"kafka:gr-raw","2025-05-17T18:11:46.838Z","I_R03_2025-05-18","R1","2025-05-17T18:11:46.080Z","GR86-006-7",0,13,147177,
"kafka:gr-raw","2025-05-17T18:09:19.401Z","I_R03_2025-05-18","R1","2025-05-17T18:09:18.915Z","GR86-006-7",0,12,146992,
"kafka:gr-raw","2025-05-17T18:06:52.436Z","I_R03_2025-05-18","R1","2025-05-17T18:06:51.917Z","GR86-006-7",0,11,146756,
"kafka:gr-raw","2025-05-17T18:04:26.325Z","I_R03_2025-05-18","R1","2025-05-17T18:04:25.154Z","GR86-006-7",0,10,146160,
"kafka:gr-raw","2025-05-17T18:01:59.221Z","I_R03_2025-05-18","R1","2025-05-17T18:01:58.988Z","GR86-006-7",0,9,146485,
"kafka:gr-raw","2025-05-17T17:59:33.865Z","I_R03_2025-05-18","R1","2025-05-17T17:59:32.497Z","GR86-006-7",0,8,146244,
"kafka:gr-raw","2025-05-17T17:57:08.213Z","I_R03_2025-05-18","R1","2025-05-17T17:57:06.256Z","GR86-006-7",0,7,44,
