POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5
1;13;Classified;16;40:14.331;-;-;6;2:25.055;149.4;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
2;72;Classified;16;40:21.884;+7.553;+7.553;7;2:25.338;149.1;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
3;7;Classified;16;40:22.291;+7.960;+0.407;7;2:25.400;149.0;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
4;16;Classified;16;40:22.490;+8.159;+0.199;7;2:25.299;149.1;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
5;78;Classified;16;40:23.413;+9.082;+0.923;6;2:25.469;149.0;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
6;46;Classified;16;40:23.626;+9.295;+0.213;10;2:25.537;148.9;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
7;2;Classified;16;40:27.997;+13.666;+4.371;9;2:25.818;148.6;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
8;98;Classified;16;40:28.203;+13.872;+0.206;9;2:26.075;148.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
9;55;Classified;16;40:30.162;+15.831;+1.959;10;2:25.882;148.5;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
10;71;Classified;16;40:37.357;+23.026;+7.195;10;2:26.129;148.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
11;15;Classified;16;40:37.488;+23.157;+0.131;9;2:25.839;148.6;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
12;21;Classified;16;40:41.064;+26.733;+3.576;6;2:26.513;147.9;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
13;88;Classified;16;40:57.829;+43.498;+16.765;8;2:27.152;147.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
14;51;Classified;16;40:58.458;+44.127;+0.629;6;2:27.465;146.9;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
15;11;Classified;16;40:58.506;+44.175;+0.048;4;2:27.381;147.0;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
16;3;Classified;16;40:59.243;+44.912;+0.737;11;2:27.574;146.8;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
17;113;Classified;16;40:59.341;+45.010;+0.098;9;2:26.076;148.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
18;41;Classified;16;41:09.117;+54.786;+9.776;4;2:26.549;147.9;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
19;5;Classified;16;41:10.049;+55.718;+0.932;4;2:27.050;147.4;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
20;31;Classified;15;41:36.914;1 Lap;1 Lap;4;2:26.914;147.5;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
21;47;Classified;13;34:11.930;3 Laps;2 Laps;4;2:27.174;147.2;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
22;80;Classified;0;;16 Laps;13 Laps;0;;;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
