TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN
1747577150;5/18/2025 2:05:50 PM;29.55;39.0;62.26;1013.6;8.28;242;0
1747577212;5/18/2025 2:06:52 PM;29.48;38.8;62.36;1013.6;6.84;241;0
1747577275;5/18/2025 2:07:55 PM;29.51;38.6;62.47;1013.6;6.12;275;0
1747577338;5/18/2025 2:08:58 PM;29.57;38.4;62.24;1013.5;7.56;235;0
1747577399;5/18/2025 2:09:59 PM;29.55;38.8;62.0;1013.5;6.48;241;0
1747577463;5/18/2025 2:11:03 PM;29.6;39.0;62.75;1013.5;1.8;223;0
1747577526;5/18/2025 2:12:06 PM;29.68;38.9;62.21;1013.5;6.48;237;0
1747577589;5/18/2025 2:13:09 PM;29.73;38.8;62.12;1013.5;7.92;269;0
1747577651;5/18/2025 2:14:11 PM;29.7;38.5;61.99;1013.4;9.0;235;0
1747577714;5/18/2025 2:15:14 PM;29.65;38.4;62.46;1013.4;1.8;231;0
1747577777;5/18/2025 2:16:17 PM;29.69;38.6;62.64;1013.5;2.16;228;0
1747577839;5/18/2025 2:17:19 PM;29.76;38.6;61.97;1013.6;2.52;281;0
1747577902;5/18/2025 2:18:22 PM;29.83;38.1;62.43;1013.5;1.08;289;0
1747577965;5/18/2025 2:19:25 PM;29.88;37.9;61.8;1013.5;1.44;231;0
1747578027;5/18/2025 2:20:27 PM;29.95;37.7;61.97;1013.4;1.08;198;0
1747578090;5/18/2025 2:21:30 PM;30.06;38.1;61.92;1013.4;1.08;198;0
1747578153;5/18/2025 2:22:33 PM;30.17;38.3;61.33;1013.5;1.44;228;0
1747578216;5/18/2025 2:23:36 PM;30.31;38.2;60.34;1013.4;3.6;242;0
1747578278;5/18/2025 2:24:38 PM;30.35;38.3;60.13;1013.4;2.88;251;0
1747578341;5/18/2025 2:25:41 PM;30.35;38.3;60.43;1013.4;2.88;258;0
1747578404;5/18/2025 2:26:44 PM;30.35;38.2;60.74;1013.4;2.16;297;0
1747578466;5/18/2025 2:27:46 PM;30.29;38.3;59.98;1013.5;2.16;346;0
1747578529;5/18/2025 2:28:49 PM;30.24;38.7;60.15;1013.4;2.52;351;0
1747578592;5/18/2025 2:29:52 PM;30.1;38.8;60.45;1013.4;2.52;0;0
1747578654;5/18/2025 2:30:54 PM;30.03;39.0;60.76;1013.4;2.52;297;0
1747578717;5/18/2025 2:31:57 PM;30.06;39.0;61.21;1013.4;2.52;322;0
1747578780;5/18/2025 2:33:00 PM;30.11;39.0;60.87;1013.4;3.24;27;0
1747578842;5/18/2025 2:34:02 PM;30.18;39.0;60.76;1013.4;3.6;259;0
1747578905;5/18/2025 2:35:05 PM;30.21;39.0;60.56;1013.4;3.6;280;0
1747578968;5/18/2025 2:36:08 PM;30.24;39.0;60.99;1013.4;4.32;318;0
1747579030;5/18/2025 2:37:10 PM;30.29;39.0;61.18;1013.4;2.16;307;0
1747579093;5/18/2025 2:38:13 PM;30.35;39.2;60.73;1013.3;3.6;249;0
1747579156;5/18/2025 2:39:16 PM;30.4;39.4;60.7;1013.4;5.4;290;0
1747579219;5/18/2025 2:40:19 PM;30.37;39.6;60.55;1013.3;3.24;347;0
1747579281;5/18/2025 2:41:21 PM;30.31;39.7;60.33;1013.3;5.04;358;0
1747579344;5/18/2025 2:42:24 PM;30.23;39.8;61.38;1013.3;4.32;276;0
1747579407;5/18/2025 2:43:27 PM;30.21;39.9;60.72;1013.2;3.24;251;0
1747579469;5/18/2025 2:44:29 PM;30.22;39.8;61.09;1013.1;5.76;274;0
