NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
2;Toyota GR86;Am;16;2:25.818;9;2:26.020;8;2:26.130;12;2:26.156;10;2:26.158;7;2:26.239;13;2:26.368;14;2:26.539;5;2:26.599;15;2:26.730;4;2:26.275
3;Toyota GR86;Am;16;2:27.574;11;2:27.652;13;2:27.656;9;2:27.674;6;2:27.829;8;2:27.997;12;2:28.037;10;2:28.068;4;2:28.723;14;2:28.923;7;2:28.013
5;Toyota GR86;Am;16;2:27.050;4;2:27.589;10;2:27.800;9;2:27.826;8;2:27.929;11;2:28.060;12;2:28.067;3;2:28.232;14;2:28.367;15;2:28.618;13;2:27.953
7;Toyota GR86;Am;16;2:25.400;7;2:25.564;6;2:25.777;4;2:25.936;5;2:25.980;9;2:26.065;12;2:26.086;10;2:26.105;15;2:26.305;13;2:26.392;11;2:25.961
11;Toyota GR86;Am;16;2:27.381;4;2:27.402;9;2:27.507;11;2:27.650;10;2:27.792;8;2:27.809;12;2:27.874;13;2:28.532;6;2:28.616;5;2:28.928;15;2:27.949
13;Toyota GR86;Am;16;2:25.055;6;2:25.154;7;2:25.176;8;2:25.299;11;2:25.341;12;2:25.480;10;2:25.486;13;2:25.510;9;2:25.567;5;2:25.669;14;2:25.373
15;Toyota GR86;Am;16;2:25.839;9;2:26.292;10;2:26.364;8;2:26.435;11;2:26.712;6;2:26.756;15;2:26.803;3;2:26.904;4;2:27.013;5;2:27.091;12;2:26.620
16;Toyota GR86;Am;16;2:25.299;7;2:25.404;6;2:25.836;4;2:25.906;10;2:25.942;13;2:25.952;8;2:26.118;12;2:26.337;9;2:26.425;16;2:26.440;15;2:25.965
21;Toyota GR86;Am;16;2:26.513;6;2:26.554;4;2:26.711;5;2:26.867;10;2:26.905;9;2:27.160;14;2:27.277;8;2:27.278;13;2:27.380;11;2:27.658;12;2:27.030
31;Toyota GR86;Am;15;2:26.914;4;2:27.169;7;2:27.293;12;2:27.523;8;2:27.783;9;2:27.896;6;2:28.150;3;2:28.202;10;2:28.705;13;2:28.900;5;2:27.853
41;Toyota GR86;Am;16;2:26.549;4;2:27.317;8;2:27.457;10;2:27.465;13;2:27.519;12;2:27.538;7;2:27.621;14;2:27.663;16;2:28.094;15;2:28.791;6;2:27.601
46;Toyota GR86;Am;16;2:25.537;10;2:25.679;7;2:25.828;8;2:25.981;4;2:26.000;9;2:26.027;6;2:26.194;14;2:26.213;11;2:26.297;16;2:26.355;3;2:26.011
47;Toyota GR86;Am;13;2:27.174;4;2:27.216;7;2:27.425;8;2:27.555;12;2:27.587;6;2:28.312;9;2:28.376;11;2:28.482;5;2:28.618;3;2:28.932;13;2:27.967
51;Toyota GR86;Am;16;2:27.465;6;2:27.541;10;2:27.574;12;2:27.630;8;2:27.664;9;2:27.804;11;2:27.948;13;2:28.210;4;2:28.479;7;2:28.575;15;2:27.889
55;Toyota GR86;Am;16;2:25.882;10;2:25.962;8;2:26.074;14;2:26.082;9;2:26.159;4;2:26.252;15;2:26.285;5;2:26.462;11;2:26.687;7;2:26.821;16;2:26.266
71;Toyota GR86;Am;16;2:26.129;10;2:26.167;9;2:26.183;4;2:26.240;11;2:26.314;8;2:26.419;5;2:26.683;12;2:26.832;6;2:27.013;15;2:27.355;13;2:26.533
72;Toyota GR86;Am;16;2:25.338;7;2:25.478;6;2:25.855;5;2:25.980;4;2:26.007;10;2:26.046;9;2:26.049;12;2:26.170;15;2:26.173;13;2:26.289;14;2:25.938
78;Toyota GR86;Am;16;2:25.469;6;2:25.550;7;2:25.678;9;2:25.895;10;2:25.920;14;2:25.976;4;2:26.248;12;2:26.251;11;2:26.368;8;2:26.418;15;2:25.977
88;Toyota GR86;Am;16;2:27.152;8;2:27.164;4;2:27.164;7;2:27.464;12;2:27.931;6;2:27.937;5;2:27.976;3;2:28.177;9;2:28.255;10;2:28.358;15;2:27.757
98;Toyota GR86;Am;16;2:26.075;9;2:26.086;10;2:26.115;8;2:26.187;11;2:26.230;13;2:26.341;15;2:26.396;14;2:26.475;4;2:26.526;16;2:26.629;12;2:26.306
113;Toyota GR86;Am;16;2:26.076;9;2:26.395;5;2:26.500;6;2:26.557;8;2:26.764;12;2:26.854;13;2:26.916;4;2:27.595;15;2:27.877;11;2:27.899;3;2:26.943
