CLASS_TYPE;POS;PIC;NUMBER;VEHICLE;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH
Am;1;1;72;Toyota GR86;20;45:41.760;;;10;2:08.511;147.4
Am;2;2;46;Toyota GR86;20;45:41.975;+0.215;+0.215;9;2:08.542;147.4
Am;3;3;13;Toyota GR86;20;45:42.948;+1.188;+0.973;10;2:08.432;147.5
Am;4;4;7;Toyota GR86;20;45:43.217;+1.457;+0.269;8;2:08.776;147.1
Am;5;5;55;Toyota GR86;20;45:48.537;+6.777;+5.320;9;2:08.497;147.4
Am;6;6;21;Toyota GR86;20;45:59.167;+17.407;+10.630;6;2:09.321;146.5
Am;7;7;31;Toyota GR86;20;45:59.592;+17.832;+0.425;7;2:09.029;146.8
Am;8;8;2;Toyota GR86;20;46:00.975;+19.215;+1.383;16;2:09.057;146.8
Am;9;9;111;Toyota GR86;20;46:01.897;+20.137;+0.922;20;2:09.345;146.5
Am;10;10;88;Toyota GR86;20;46:03.914;+22.154;+2.017;8;2:09.590;146.2
Am;11;11;5;Toyota GR86;20;46:12.701;+30.941;+8.787;11;2:10.177;145.5
Am;12;12;41;Toyota GR86;20;46:29.573;+47.813;+16.872;8;2:10.398;145.3
Am;13;13;3;Toyota GR86;20;46:29.838;+48.078;+0.265;15;2:09.877;145.9
Am;14;14;113;Toyota GR86;20;46:34.974;+53.214;+5.136;8;2:09.373;146.4
Am;15;15;61;Toyota GR86;20;46:52.978;+1'11.218;+18.004;11;2:12.349;143.1
Am;16;16;51;Toyota GR86;20;47:01.999;+1'20.239;+9.021;18;2:11.208;144.4
Am;17;17;80;Toyota GR86;20;47:05.251;+1'23.491;+3.252;11;2:10.879;144.8
Am;18;18;12;Toyota GR86;20;47:32.432;+1'50.672;+27.181;8;2:13.822;141.6
Am;19;19;71;Toyota GR86;20;47:38.348;+1'56.588;+5.916;8;2:09.114;146.7
Am;20;20;93;Toyota GR86;19;44:20.182;1 Laps;1 Laps;14;2:11.154;144.4
Am;21;21;15;Toyota GR86;11;29:22.615;9 Laps;8 Laps;5;2:09.654;146.1
Am;22;22;98;Toyota GR86;4;11:42.909;16 Laps;7 Laps;2;2:15.206;140.1
Am;23;23;89;Toyota GR86;1;2:48.313;19 Laps;3 Laps;0;;
Am;24;24;78;Toyota GR86;0;;20 Laps;1 Laps;0;;
