NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;PIT_TIME;CLASS;GROUP;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed
3;1;1;2:20.651;0;;52.669;0;52.299;0;35.683;0;134.7;2:20.651;12:48:59.548;0:52.669;0:52.299;0:35.683;;;Am;;Toyota Gazoo Racing;GF;52.669;52.299;35.683;30.515;30.515;22.154;52.669;20.538;1:13.207;31.761;1:44.968;14.008;1:58.976;21.675;2:20.651
3;1;2;2:11.061;0;;46.094;0;49.233;0;35.734;0;144.6;4:31.712;12:51:10.609;0:46.094;0:49.233;0:35.734;;;Am;;Toyota Gazoo Racing;GF;46.094;49.233;35.734;26.277;26.277;19.817;46.094;19.36;1:05.454;29.873;1:35.327;13.926;1:49.253;21.808;2:11.061
3;1;3;2:10.396;0;;46.239;0;48.764;0;35.393;0;145.3;6:42.108;12:53:21.005;0:46.239;0:48.764;0:35.393;;;Am;;Toyota Gazoo Racing;GF;46.239;48.764;35.393;26.265;26.265;19.974;46.239;19.087;1:05.326;29.677;1:35.003;13.843;1:48.846;21.550;2:10.396
3;1;4;2:10.749;0;;46.072;0;48.867;0;35.810;0;144.9;8:52.857;12:55:31.754;0:46.072;0:48.867;0:35.810;;;Am;;Toyota Gazoo Racing;GF;46.072;48.867;35.81;26.172;26.172;19.9;46.072;19.118;1:05.190;29.749;1:34.939;13.905;1:48.844;21.905;2:10.749
3;1;5;2:10.329;0;;46.179;0;48.83;0;35.320;0;145.4;11:03.186;12:57:42.083;0:46.179;0:48.830;0:35.320;;;Am;;Toyota Gazoo Racing;GF;46.179;48.83;35.32;26.275;26.275;19.904;46.179;19.125;1:05.304;29.705;1:35.009;13.942;1:48.951;21.378;2:10.329
3;1;6;2:10.151;0;;46.057;0;48.784;0;35.310;0;145.6;13:13.337;12:59:52.234;0:46.057;0:48.784;0:35.310;;;Am;;Toyota Gazoo Racing;GF;46.057;48.784;35.31;26.145;26.145;19.912;46.057;19.08;1:05.137;29.704;1:34.841;13.881;1:48.722;21.429;2:10.151
3;1;7;2:10.655;0;;46.342;0;49.039;0;35.274;0;145.0;15:23.992;13:02:02.889;0:46.342;0:49.039;0:35.274;;;Am;;Toyota Gazoo Racing;GF;46.342;49.039;35.274;26.28;26.28;20.062;46.342;19.064;1:05.406;29.975;1:35.381;13.828;1:49.209;21.446;2:10.655
3;1;8;2:10.672;0;;46.210;0;49.081;0;35.381;0;145.0;17:34.664;13:04:13.561;0:46.210;0:49.081;0:35.381;;;Am;;Toyota Gazoo Racing;GF;46.21;49.081;35.381;26.275;26.275;19.935;46.210;19.202;1:05.412;29.879;1:35.291;13.907;1:49.198;21.474;2:10.672
3;1;9;2:10.513;0;;45.987;0;49.108;0;35.418;0;145.2;19:45.177;13:06:24.074;0:45.987;0:49.108;0:35.418;;;Am;;Toyota Gazoo Racing;GF;45.987;49.108;35.418;26.091;26.091;19.896;45.987;19.231;1:05.218;29.877;1:35.095;13.883;1:48.978;21.535;2:10.513
3;1;10;2:10.286;0;;45.993;0;48.828;0;35.465;0;145.4;21:55.463;13:08:34.360;0:45.993;0:48.828;0:35.465;;;Am;;Toyota Gazoo Racing;GF;45.993;48.828;35.465;26.055;26.055;19.938;45.993;19.037;1:05.030;29.791;1:34.821;13.856;1:48.677;21.609;2:10.286
