TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN
1753030037;7/20/2025 4:47:17 PM;31.83;42.2;61.55;999.9;9.0;284;0
1753030100;7/20/2025 4:48:20 PM;31.91;42.8;62.26;999.9;5.76;287;0
1753030162;7/20/2025 4:49:22 PM;31.97;43.0;60.97;999.8;18.0;296;0
1753030225;7/20/2025 4:50:25 PM;31.93;43.0;59.18;999.9;11.52;287;0
1753030288;7/20/2025 4:51:28 PM;31.86;43.2;60.73;999.9;11.88;293;0
1753030350;7/20/2025 4:52:30 PM;31.88;43.2;60.35;999.8;15.48;263;0
1753030413;7/20/2025 4:53:33 PM;31.84;43.1;60.35;999.7;12.96;268;0
1753030476;7/20/2025 4:54:36 PM;31.84;43.0;61.27;999.9;5.76;286;0
1753030539;7/20/2025 4:55:39 PM;31.83;42.9;60.96;999.8;9.36;304;0
1753030601;7/20/2025 4:56:41 PM;31.85;42.9;61.47;999.8;10.08;267;0
1753030664;7/20/2025 4:57:44 PM;31.82;42.9;60.26;999.9;15.84;275;0
1753030727;7/20/2025 4:58:47 PM;31.83;42.9;60.89;999.8;9.36;284;0
1753030789;7/20/2025 4:59:49 PM;31.88;43.1;61.98;999.8;7.56;268;0
1753030852;7/20/2025 5:00:52 PM;31.94;43.1;61.2;999.8;11.16;260;0
1753030915;7/20/2025 5:01:55 PM;31.97;43.1;60.77;999.8;11.52;287;0
1753030977;7/20/2025 5:02:57 PM;31.92;43.2;62.12;999.8;11.16;304;0
1753031040;7/20/2025 5:04:00 PM;31.95;43.3;61.39;999.7;12.6;272;0
1753031103;7/20/2025 5:05:03 PM;31.99;43.3;60.96;999.8;13.68;289;0
1753031165;7/20/2025 5:06:05 PM;32.02;43.1;60.46;999.8;6.12;263;0
1753031227;7/20/2025 5:07:07 PM;32.08;42.9;60.59;999.8;9.36;267;0
1753031291;7/20/2025 5:08:11 PM;32.18;42.7;60.88;999.9;12.24;287;0
1753031354;7/20/2025 5:09:14 PM;32.13;42.6;59.78;999.7;11.88;281;0
1753031416;7/20/2025 5:10:16 PM;32.04;42.6;60.64;999.8;7.92;273;0
1753031479;7/20/2025 5:11:19 PM;31.98;42.0;58.94;999.6;16.92;261;0
1753031542;7/20/2025 5:12:22 PM;31.97;41.8;60.72;999.9;9.72;284;0
1753031604;7/20/2025 5:13:24 PM;31.92;41.9;61.29;999.8;9.0;267;0
1753031667;7/20/2025 5:14:27 PM;31.9;41.8;60.66;999.7;6.12;278;0
1753031730;7/20/2025 5:15:30 PM;31.89;42.0;61.16;999.8;7.92;264;0
1753031792;7/20/2025 5:16:32 PM;31.87;41.9;60.08;999.7;13.68;266;0
1753031855;7/20/2025 5:17:35 PM;31.86;41.8;60.68;999.8;11.52;267;0
1753031918;7/20/2025 5:18:38 PM;31.82;41.6;61.61;999.8;6.12;284;0
1753031980;7/20/2025 5:19:40 PM;31.83;41.9;61.92;999.8;7.56;263;0
1753032043;7/20/2025 5:20:43 PM;31.9;41.9;60.82;999.7;9.36;249;0
1753032106;7/20/2025 5:21:46 PM;31.93;41.9;61.87;999.8;8.64;257;0
1753032168;7/20/2025 5:22:48 PM;31.96;42.0;61.84;999.8;6.12;293;0
1753032231;7/20/2025 5:23:51 PM;32.03;42.4;60.66;999.8;12.6;279;0
1753032294;7/20/2025 5:24:54 PM;31.98;42.5;62.39;999.8;3.96;286;0
1753032357;7/20/2025 5:25:57 PM;31.98;42.6;60.82;999.7;10.44;280;0
1753032419;7/20/2025 5:26:59 PM;32.01;42.8;60.75;999.7;12.6;272;0
1753032482;7/20/2025 5:28:02 PM;32.04;42.8;60.84;999.8;7.92;233;0
1753032545;7/20/2025 5:29:05 PM;32.08;42.9;61.27;999.7;16.56;267;0
1753032607;7/20/2025 5:30:07 PM;32.1;42.8;58.49;999.6;11.52;238;0
1753032670;7/20/2025 5:31:10 PM;32.18;43.1;60.86;999.7;12.24;266;0
